text1,text2,tag1,tag2,split,file,split
Anf. 67 LARS U GRANBERG (s) replik:,"Fru talman! Om jag inte misstar mig har Boverket uppdraget att
              utreda den situation som finns vad gäller de särskilda boendena
              och återkomma om det.",1,0,0,/content/corpus/protocols/200304/prot-200304--80.xml,train
Anf. 90 Justitieminister THOMAS BODSTRÖM (s):,"Herr talman! Tobias Krantz har frågat mig vilka åtgärder jag
              avser att vidta i syfte att rätta till bristen på poliser i Jönköpings
              län.",1,0,0,/content/corpus/protocols/200506/prot-200506--136.xml,train
(m):,"Herr talman! Birgitta Hambraeus har ställt följande fråga till
              mig:",1,0,0,/content/corpus/protocols/199293/prot-199293--104.xml,train
Herr statsrådet PALME:,"Herr talman! Vi kan avsluta tackandet. Jag vill med djup förtvivlan
              erkänna ett fel. Karolinska sjukhuset ligger mycket riktigt i
              Solna. Ur luftföroreningssynpunkt är väl inte detta av avgörande
              betydelse. Luften följer inte nödvändigtvis stadsgränserna. Det
              beror bl. a. på hur vinden blåser.",1,0,0,/content/corpus/protocols/1967/prot-1967--fk--18.xml,train
Anf. 68 Finansminister MAGDALENA ANDERSSON (S),"§ 16 Svar på interpellation 2017/18:151 om effekterna av höjda
            skatter",1,0,0,/content/corpus/protocols/201718/prot-201718--41.xml,train
Anf. 108 LARS OHLY (V):,"Fru talman! Vården har kommit i centrum för den politiska debatten
              under våren. Det beror väl inte enbart på att Vänsterpartiet driver
              kampanjen för världens bästa vård utan privata vinster, men det
              har lett till att vi har varit ute och träffat mängder av företrädare
              för personal, anhörigföreningar, patientföreningar och människor
              som är beroende en god vård och som vill att vården ska fungera
              för alla.",1,0,0,/content/corpus/protocols/201011/prot-201011--116.xml,train
Herr HERLITZ (h):,"Herr talman! Jag ber att få yrka bifall till den hemställan,
              som förekommer under punkt B) i vardera av reservationerna 2 a)
              av herr Bergvall m. fl. och 3) av mig och herr Håstad.",1,0,0,/content/corpus/protocols/1953/prot-1953--fk--20.xml,train
Anf. 105 INGEMAR ELIASSON (fp):,"Herr talman! Min fråga ställdes mot bakgrund av de många pressuppgifter
              och den livliga debatt som har pågått om de äldres villkor i vårt
              samhälle. Man kan ju sammanfatta detta så att de villkoren är
              allt annat än tillfredsställande. Det är i många fall rent upprörande
              hur äldre människor får leva, därför att de inte längre kan klara
              sig helt själva. Jag tror att det finns",1,0,0,/content/corpus/protocols/198485/prot-198485--26.xml,train
Anf. 129 HELENA BOUVENG (M) replik:,"Fru ålderspresident! Jag ska svara på frågan, Peter Persson.
              Det går bra för Sverige, trots en rödgrön politik som är både
              jobb- och tillväxthämmande.",1,0,0,/content/corpus/protocols/201617/prot-201617--88.xml,train
Anf. 138 RONNY KORSBERG (mp) replik,"Fru talman! Det är uppenbart att Carl Fredrik Graf inte vill
              förstå det här. Att dra så långtgående växlar som han gör på dessa
              50 tjänster måste väl vara ett ganska stort underbetyg åt hans
              eget förslag. Det är ofattbart att de skulle vara helt avgörande
              för Sveriges möjligheter att klara gränskontrollen. Det måste
              betyda att han på något sätt utgår från att den nivå som han själv
              har föreslagit är en försämring, och det gör att hans eget förslag
              egentligen inte heller räcker till.",1,0,0,/content/corpus/protocols/199495/prot-199495--82.xml,train
Fru HAMRIN-THORELL (fp):,"Herr talman! Jag ber att till statsrådet och chefen för ecklesiastikdepartementet
              få framföra ett tack för svaret.",1,0,0,/content/corpus/protocols/1962/prot-1962-hÃ¶st-fk--36.xml,train
Herr statsrådet Nilsson:,"Herr talman! Jag vill erinra om att planeringskommissionen på
              sin tid framlade förslag om övervakning av vissa konkurrensbegränsande
              företeelser inom näringslivet. Avsikten var att motverka den monopolistiska
              prisbildningen, och riksdagens samtliga partier voro ense om att
              man skulle gå in för detta. När vi nu komma in på ett detaljavsnitt
              i denna",1,0,0,/content/corpus/protocols/1946/prot-1946-hÃ¶st-ak--41.xml,train
MARTIN OLSSON (c):,"Herr talman! Bland de åtta motioner som behandlas i detta betänkande
            från lagutskottet är en av Håkan Hansson m.fl. från centerpartiet.
            Den är benämnd L 211. I den motionen har Håkan Hansson tagit upp
            frågan om att finna nya företagsformer. Motionen har föranlett
            reservation 3, bakom vilken står företrädarna för moderaterna,
            folkpartiet, centern och miljöpartiet i utskottet.",1,0,0,/content/corpus/protocols/198990/prot-198990--12.xml,train
"Statsrådet KARIN ANDERSSON erhöll ordet för att besvara Alexander
            Chrisopoulos (vpk) den 13 november anmälda interpellation, 1979/
            80:59, och anförde:","Herr talman! Alexander Chrisopoulos har frågat mig om jag är
              beredd att förelå några ändringar i nuvarande lagstiftning och
              verka för en förändring av praxis så att den som erhållit arbetsoch
              uppehållstillstånd genom s. k. anknytningsinvandring efter invandringen
              ges rätt till arbetsoch uppehållstillstånd oberoende av förhållandet
              till den andra parten.",1,0,0,/content/corpus/protocols/197980/prot-197980--48.xml,train
Anf. 31 JONAS JACOBSSON GJÖRTLER (M):,"Fru talman! Jag har en fråga till statsrådet Billström. Fram
              till år 2025 kommer 1,6 miljoner svenskar att gå i pension. Det
              medför en hel del stora utmaningar. För att framtidens välfärd
              ska kunna fungera behöver fler jobba i Sverige.",1,0,0,/content/corpus/protocols/201213/prot-201213--82.xml,train
Anf. 63 CICZIE WEIDBY (V):,"Fru talman! I betänkandet 2019/20:AU10 om arbetsmiljö och arbetstid
              skulle jag helst vilja yrka bifall till alla våra reservationer,
              eftersom Vänsterpartiet har så jättemycket bra politik. Jag begränsar
              mig dock till att yrka bifall till reservation 18, som handlar
              om arbetstidslagen.",1,0,0,/content/corpus/protocols/201920/prot-201920--98.xml,train
THALÉN (s),"Fru talman! Jag är inte riktigt klar över vad alla de argument
              som Göte Jonsson anfört i Socialtjänstkommittén har gått ut på.
              Jag har dock naturligtvis läst reservationerna vid och de uppfattningar
              som redovisas i dess betänkande. Det som har varit utgångspunkten
              för Socialtjänstkommitténs majoritet liksom, enligt vad jag nu
              har förstått, för Göte Jonssons argumentation och det som nu är
              utgångspunkten för lagrådsremiss- och propositionsskrivandet är
              att det skall klargöras för kommunerna och framför allt för de
              enskilda individerna vilka villkor som gäller, för undvikande
              av att tyngdpunkten flyttas över till förvaltningsdomstolarna.
              Jag menar inte att det är felaktigt att de handlägger det som
              skall föras dit, men det är uppenbart att lagens hittillsvarande
              otydlighet har medfört att för mycket har lyfts över till domstolarna.",1,0,0,/content/corpus/protocols/199596/prot-199596--24.xml,train
Herr NORDSTRANDH (h):,"Herr talman! Jag ber att få tacka statsrådet Palme för svaret,
              som synes mig positivt — ty jag får väl inte tolka talet om prövning
              på det sättet, att forskarutredningens förslag prövas bort och
              att det således inte blir någonting alls av det hela?",1,0,0,/content/corpus/protocols/1968/prot-1968-hÃ¶st-ak--34.xml,train
Anf. 117 ULLA HOFFMANN (v):,"Herr talman! Jag tackar statsrådet för svaret. Jag vill påminna
              om att Sverige den 16 augusti 1954 ratificerade FN-konventionen
              om flyktingars rättsliga ställning. I artikel 35 förbinder vi
              oss att samarbeta med de organ, bl.a. UNHCR, som skall övervaka
              att bestämmelserna i 1951 års konvention efterlevs.",1,0,0,/content/corpus/protocols/199495/prot-199495--27.xml,train
Herr HALLGREN (vpk):,"Herr talman! Till herr Rosqvist vill jag säga, att även om det
              till äventyrs skulle finnas — vilket jag naturligtvis inte betvivlar
              — en sådan mening på myndighetshåll i Sovjet, hindrar detta inte
              mig från att framföra min uppfattning. Om denna riksdag beslutar
              om lotstvång, kommer detta också att gälla utländska fartyg. Jag
              anser dessutom att de bör anlita lots, eftersom säkerheten till
              sjöss måste garanteras i varje avseende och olycksfallsrisken
              nedbringas till ett minimum. Lotsskyldighet skulle naturligtvis
              vara ett medel i detta strävande. Självfallet kommer vi aldrig
              helt ifrån vare sig grundstötningar eller haverier, men den av
              oss föreslagna åtgärden skulle vara ett medel för att motarbeta
              sådana olyckor.",1,0,0,/content/corpus/protocols/1973/prot-1973--54.xml,train
Anf. 5 Utrikesminister MARGOT WALLSTRÖM (S):,"Fru talman! Det är klart att jag inte kommer att stå här och
              diskutera vad som har sagts i samtal som vi för med våra ambassadörer
              eller reda ut vad som har sagts i en viss artikel och hur tankarna
              går i fråga om det. Ett sådant samtal får vi i så fall ha utifrån
              rollen som arbetsgivare och chef för Utrikesdepartementet. Vi
              kommer att ha och har redan haft sådana samtal.",1,0,0,/content/corpus/protocols/201718/prot-201718--28.xml,train
Anf. 5 LENNART BRUNANDER (c):,"Fru talman! Det är som statsrådet säger inte bara en kyrklig
              fråga utan i högsta grad också en allmänmänsklig fråga. De kvinnopräster
              som skall fungera måste ju ha sådana arbetsförutsättningar att
              de kan göra det.",1,0,0,/content/corpus/protocols/199798/prot-199798--9.xml,train
f423 > UGGLAS (m):,Fru talman! Jag noterar självfallet vad både Karl-,1,0,0,/content/corpus/protocols/199192/prot-199192--69.xml,train
Anf. 151 KENT PERSSON (v) replik:,"Herr talman! Men det är det här som riksdagen ska debattera och
              fatta beslut om. Det finns klart och tydligt uttalat att vi inte
              har någon ståndpunkt. Att inte ta ställning är att ta ställning.
              Att inte ha någon ståndpunkt innebär att ta ställning att man
              inte bryr sig. Det tycker jag är allvarligt. Det finns inte ett
              ord om några utredningar. Det finns inte ett ord om att utskottets
              majoritet väntar på direktiv från regeringen i frågan.",1,0,0,/content/corpus/protocols/200809/prot-200809--83.xml,train
Anf. 17 Statsrådet ERIK ÅSBRINK (s):,"Fru talman! Görel Thurdin har frågat mig om jag är beredd att
              medverka till ett sänkt skattetryck och förbättrat fördelningspolitiskt
              utfall för skattomläggningen genom att differentiera mervärdeskatten
              och därmed sänka skatten på mat, boende och persontransporter.",1,0,0,/content/corpus/protocols/199091/prot-199091--118.xml,train
Anf. 51 ALEXANDRA ANSTRELL (M):,"Herr talman! Jag tackar statsrådet för svaret. Till er åhörare
              vill jag säga att detta alltså handlar om hur vi ska kunna trygga
              barn placerade i familje- och jourhem.",1,0,0,/content/corpus/protocols/201819/prot-201819--98.xml,train
Herr Anderson i Råstock:,"Herr talman! Då jag vet vad första kammaren har beslutat i den
              här punkten och då jag tror mig kunna draga den slutsatsen att
              resultatet blir enahanda här i denna kammare, skall jag på förhand
              lova att icke göra något yrkande.",1,0,0,/content/corpus/protocols/1930/prot-1930--ak--24.xml,train
Anf. 37 ROGER TIEFENSEE (C) replik:,"Herr talman! Jag håller med Jens Holm om att vi behöver jobba
              med nationell lagstiftning och gå före, men grunden och det bästa
              är att vi får hela EU med oss och att vi får ett Reach där man
              kan hantera till exempel hormonstörande ämnen eller andra ämnen
              i grupp. Det är då vi kan få riktig kraft i detta. Sedan kan det
              finnas skäl att jobba vidare med utpekade ämnen.",1,0,0,/content/corpus/protocols/201314/prot-201314--90.xml,train
"Herr HERMANSSON, kort genmäle:","Herr talman! Herr Göransson menade, att jag hade karikerat förhållandena
              irom fångvården. Man kan ha vilken uppfattning man vill om detta
              när det gäller fångvården i allmänhet, men när det gäller de konkreta
              försummelser som jag här talat om, kan det inte vara fråga om
              någon karikering, utan där är det ju fakta man har att ta på.",1,0,0,/content/corpus/protocols/1954/prot-1954--fk--11.xml,train
Anf. 142 KIA ANDREASSON (mp) replik,"Herr talman! Jag är ledsen att behöva upprepa mig, men i en uppslagsbok
              finns det ju bara ett ledord. Man läser under det ledordet om
              just det ordets betydelse. I ett förord behandlas företeelsen
              i dess helhet på ett helt annat sätt. Det är den stora skillnaden.",1,0,0,/content/corpus/protocols/199596/prot-199596--19.xml,train
Anf. 84 SVEN-OLOF SÄLLSTRÖM (SD):,"Herr talman! Först vill jag rätta Carl B Hamilton som far med
              lite osanning. Han är mycket väl medveten om att Sverigedemokraterna
              har betydligt större reformutrymme än regeringspartierna. Det
              beror ju på att vi gör besparingar på andra utgiftsområden, som
              är heliga kor för regeringspartierna.",1,0,0,/content/corpus/protocols/201213/prot-201213--26.xml,train
Anf. 59 SIV HOLMA (v):,"Herr talman! Jag har aldrig tidigare haft ett förtroendeuppdrag
              där jag mötts av så mycket positivt gensvar som efter att Vänsterpartiet
              fick ordförandeposten i kulturutskottet. Samtidigt har man också
              varit förvånad över att en oppositionsföreträdare för det näst
              minsta partiet innehar denna post. Majoriteten i kulturutskottet
              är fortfarande densamma som i riksdagen. Vad kan jag då åstadkomma
              i detta sammanhang?",1,0,0,/content/corpus/protocols/200607/prot-200607--39.xml,train
Anf. 85 GÖRAN HÄGGLUND (kds):,"Herr talman! Rolf L Nilsons demagogiska uttryck att det är oppositionen
              som får stå för omsorgen helt felaktigt. Regeringen överväger
              dessa frågor mycket noggrant utifrån det mandat man har fått från
              kammaren. Man tar självfallet hänsyn till våra naturresurser och
              till hur de skall behandlas.",1,0,0,/content/corpus/protocols/199394/prot-199394--40.xml,train
Anf. 170 EVA JOHANSSON (s):,"Herr talman! Om det är fråga om detta kan den tid som det tar
              för regeringen att fatta beslut måhända välkomnas. Men i så fall
              borde regeringen ha funderat mer noga innan den lagt fram andra
              förslag i denna kammare som tagit betydligt mycket kortare tid
              att få fram. Jag tycker att det har märkts på resultatet.",1,0,0,/content/corpus/protocols/199293/prot-199293--119.xml,train
Herr HAGBERG i Stockholm (k):,"Herr talman! Jag ber att vid denna punkt få yrka bifall till
              motionen I: 457.",1,0,0,/content/corpus/protocols/1955/prot-1955--ak--18.xml,train
Anf. 54 ANNIKA HIRVONEN (MP):,"Herr talman! Det har redan redogjorts för detaljerna i förslaget
              i betänkandet, så jag tänkte uppehålla mig mer vid den principiella
              frågan.",1,0,0,/content/corpus/protocols/201415/prot-201415--27.xml,train
Anf. 71 INGEMAR KIHLSTRÖM (KD):,"Fru talman! Jag vill ställa en fråga till statsrådet Damberg,
              som verkar vara populär i dag när det gäller att få frågor.",1,0,0,/content/corpus/protocols/201819/prot-201819--77.xml,train
Anf. 124 SVEN BERGSTRÖM (c):,"Fru talman! Jag noterar att justitieministern inte ger sig in
              i diskussionen om kvalitet och kompetens på något djupare sätt,
              utan i mer svepande ordalag hänvisar till den skrivelse som kommer.",1,0,0,/content/corpus/protocols/200001/prot-200001--78.xml,train
Anf. 80 PETER PERSSON (S) replik:,"Herr talman! Det är ju inte så att friheten har ökat för alla
              människor i vårt land med de stora skattesänkningarna.",1,0,0,/content/corpus/protocols/201011/prot-201011--30.xml,train
Herr HAGBERG i Malmö:,"Herr talman! Det förefaller mig som om herr Sundström något gled
              förbi kärnpunkten i problemet, som dock är den att de i runt tal
              503 miljoner kronor, det här är fråga om, endast formellt avser
              budgetåret 1952/53. Reellt inkluderas häri även senare hälften
              av kalenderåret 1953.",1,0,0,/content/corpus/protocols/1952/prot-1952--ak--17.xml,train
Anf. 16 ANDERS KARLSSON (s) replik:,"Fru talman! Jag noterar att Staffan Danielsson gled ifrån frågan
              om frivilligorganisationerna. Du svarade inte på mina frågor.
              Får de pengarna? Anser du att de utför vettiga uppgifter nu? Eller
              är det så att de inte gör det och därför är pengarna borta och
              lagda inom MSB? Det vill jag ha svar på. Utför de vettiga uppgifter
              i år? Rolf Gunnarsson sade att ett av skälen till att ni tar bort
              dem skulle vara att de skulle utföra vettiga uppgifter för att
              få pengarna. Utför de vettiga uppgifter i år eller utför de inte
              vettiga uppgifter? Det vill jag ha svar på.",1,0,0,/content/corpus/protocols/200910/prot-200910--41.xml,train
Herr GUSTAFSSON i Bodgla:,"Herr talman! Som motionär i denna fråga skall jag be att få säga
              några korta ord. Jag kan i allt väsentligt ansluta mig till vad
              en av reservanterna, herr Larsson i Luttra, och huvudmotionären
              i den motion jag undertecknat, herr Lindahl, tidigare yttrat,
              men jag vill tillfoga ytterligare några saker.",1,0,0,/content/corpus/protocols/1948/prot-1948--ak--23.xml,train
Anf. 18 SIW PERSSON (fp):,"Fru talman! Vi är säkert överens om att det är viktigt att det
              vetenskapliga läget skall bli så klart som möjligt. Om nu det
              vetenskapliga läget har varit så oklart under många år, varför
              har då regeringen inte gett myndigheterna mycket större resurser
              än dem som verkligen har lämnats och framför allt mer än de 16
              miljoner som nu tydligen skall komma forskarna till del?",1,0,0,/content/corpus/protocols/198889/prot-198889--38.xml,train
Anf. 306 ELISABETH SVANTESSON (m) replik:,"Fru talman! Jag skulle vilja påstå att Socialdemokraterna har
              gått från arbetslinjen till bidragslinjen.",1,0,0,/content/corpus/protocols/200708/prot-200708--13.xml,train
Anf. 132 INGEGERD SAARINEN (mp) replik:,"Fru talman! Självklart anser jag inte att det är en bra linje
              att bygga ut orörda älvar. Det har jag redan sagt i mitt anförande,
              att jag anser att vi inte ska hålla på med det. Vi vill givetvis
              inte lägga ned elintensiv industri.",1,0,0,/content/corpus/protocols/200203/prot-200203--83.xml,train
Herr Hage:,"Herr talman! Jag har tillsammans med tjugu andra medlemmar av
              denna kammare väckt en motion i denna fråga och skall i anledning
              därav be att få säga några ord i densamma.",1,0,0,/content/corpus/protocols/1929/prot-1929--ak--17.xml,train
Anf. 82 HANS ANDERSSON (v) replik:,"Fru talman! Först vill jag säga att jag instämmer i det grundläggande
              perspektivet i allt det som Mona",1,0,0,/content/corpus/protocols/200001/prot-200001--53.xml,train
"Herr Hansson, Sigfrid:",Jag ber att få yrka bifall till utskottets hemställan.,1,0,0,/content/corpus/protocols/1937/prot-1937--fk--35.xml,train
Anf. 114 MARIA STRÖMKVIST (S) replik:,"Fru talman! Mitt fokus ligger mycket på skydd av kvinnor, och
              propositionen innehåller det.",1,0,0,/content/corpus/protocols/201718/prot-201718--118.xml,train
Anf. 10 CECILIA WIDEGREN (M) replik:,"Herr talman! Jag hade två frågor, och jag tänker delvis upprepa
              dem. Den ena gäller var någonstans i Miljöpartiets politik det
              inkluderas att ni ska ställa upp på en objektsramsfinansiering.
              Det var en finansieringsform ni gick ifrån 2005 när ni var statsbärande
              stödparti till den socialdemokratiska regeringen. Ni kan säga
              att ni är emot, men i praktiken agerar ni för i försvarsutskottet.",1,0,0,/content/corpus/protocols/201213/prot-201213--38.xml,train
Anf. 4 URBAN AHLIN (s):,"Herr talman! I dagens aktuella debatt om Gaza är det viktigt
              att vi skaffar oss perspektiv.",1,0,0,/content/corpus/protocols/200809/prot-200809--64.xml,train
Anf. 114 FREDRIK OLOVSSON (S) replik:,"Herr talman! Jag har under den här debatten vid ett flertal tillfällen
              efterfrågat finansministerns syn på överskottsmålet och om han
              når det. Om detta vill han inte tala. Om detta har han gärna talat
              väldigt många gånger tidigare, men inte den här gången, för nu
              visar de indikatorer som han normalt sett hänvisar till att det
              är samma läge som då, nämligen att vi inte klarar överskottsmålet
              med den typ av reformutrymme som han nu ordinerar.",1,0,0,/content/corpus/protocols/201213/prot-201213--4.xml,train
Herr HÅSTAD (h) kort genmäle:,"Herr talman! Konstitutionsutskottets ärade ordförande yttrade
              två ting, för det första att förslaget lider av brister och för
              det andra att man, som det heter, kommit till insikt om att varje
              kvalificerad minoritet kunde utforma sin fråga. Jag vill verkligen
              fråga konstitutionsutskottets ordförande: Vari består bristerna
              i grundlagsförslaget? Var god precisera dem! Jag tycker det är
              så mycket angelägnare som ju herr ordföranden varit med om denna
              frågas långa behandling under så många år. Och när konstitutionsutskottets
              ordförande säger att man nu har kommit till insikt, då måste jag
              säga att det är graverande för utskottets ärade ordförande. Detta
              skulle ordföranden kunnat komma till insikt om 1954 när frågan
              behandlades, så mycket mer som jag då gick in på hela detta frågekomplex,
              men utan att röna något som helst intresse för detta från de socialdemokratiska
              ledamöternas sida. Jag upprepade detta i kammaren, och herr Hallén
              måste väl ändå som konstitutionsutskottets ordförande om någon
              ha kommit till insikt om detta tidigare än 1957.",1,0,0,/content/corpus/protocols/1957/prot-1957--ak--17.xml,train
Anf. 18 Utrikesminister CARL BILDT (M):,"Herr talman! Vi ska inte glömma det som Désirée Pethrus sade
              mot slutet. Det fanns faktiskt en tid då invånare i Gaza till
              mycket stor del arbetade i det övriga Israel. Man rörde sig fritt
              över den där gränsen, och vi hade en ekonomisk interaktion eller
              integration eller vad vi ska kalla det. Det var inte alldeles
              utan problem, men det var inte alls problem av den dignitet och
              av den storleksordning som vi har i dag. Sedan vet vi att det
              är en serie av omständigheter som har fört oss till dagens olyckliga
              situation.",1,0,0,/content/corpus/protocols/201213/prot-201213--35.xml,train
DÉN (s):,"Herr talman! Jag uppskattar Axel Darviks engagemang när det gäller
              stödet till studentbostäder och hans synpunkter på regeringens
              förslag, framför allt mot bakgrund av att Folkpartiet är avvisande
              till varje form av stöd i detta avseende.",1,0,0,/content/corpus/protocols/200203/prot-200203--58.xml,train
Anf. 142 PETER PEDERSEN (v):,"Fru talman! Jag kan erkänna att jag av logistiska skäl hade hoppats
              på en något kortare och rappare debatt, men nu blev det inte så,
              så då kan jag bre på riktigt och hålla ett långt och ambitiöst
              anförande. Nej, allvarligt talat ska jag försöka att fatta mig
              kort så att det inte blir alltför sent.",1,0,0,/content/corpus/protocols/200607/prot-200607--75.xml,train
Anf. 64 EVA LOHMAN (M):,"Fru talman! Jag delar ministerns uppfattning att diskriminering
              är förkastligt, ovärdigt och inte acceptabelt var än och hur än
              den förekommer. Det spelar ingen roll om det är fråga om kön,
              könsidentitet, etnisk tillhörighet, religiös tillhörighet, funktionsnedsättning,
              sexuell läggning eller ålder.",1,0,0,/content/corpus/protocols/201718/prot-201718--43.xml,train
"Chefen för socialdepartementet, herr statsrådet Möller:","Herr talman! Herr Hedlund tycks vara offer för ett missförstånd.
              Utmätningsmannen skall på eget ansvar sköta sin del av göromålen,
              och följaktligen skall landsfiskalen tjänstgöra som åklagare och
              polischef inom distriktet.",1,0,0,/content/corpus/protocols/1945/prot-1945--ak--23.xml,train
Anf. 100 LARS NORBERG (mp) replik:,"Fru talman! Jag tycker att Roland Larsson kunde ange årtalet
              här och nu i kammaren, så slipper jag leta efter det i en lång
              rapport. Jag antar att Roland",1,0,0,/content/corpus/protocols/199091/prot-199091--7.xml,train
Anf. 64 BIRGITTA AHLQVIST (s) replik:,"Herr talman! Jag tycker att det är väldigt bra att Vänsterpartiet
              har tagit upp den här frågan så att vi har möjlighet att titta
              på den. Men Kalle Larsson säger att allt inte är förkastligt.
              IOM gör många bra saker också. Då är väl det bästa sättet att
              se till att de saker som är dåliga förbättras och att vi kan fortsätta
              samarbetet med IOM. Det hoppas jag att också Vänsterpartiet ställer
              upp på.",1,0,0,/content/corpus/protocols/200304/prot-200304--91.xml,train
Anf. 105 DANIEL RIAZAT (V) replik:,"Herr talman! Ni sitter hela S-bänken och undrar vad jag ska ta
              upp här.",1,0,0,/content/corpus/protocols/201920/prot-201920--85.xml,train
Anf. 66 LUCIANO ASTUDILLO (s):,"Herr talman! Tack för inbjudan, ministern! Jag har ett förslag.
              Jag föreslår att Littorin bjuder dit Petra, 21 år, Jenny, 24 år,
              Johan, 22 år och Frida, 24 år. De är fyra av de unga medlemmar
              i Handels som jag träffade och som tog strid mot detta företag
              för att få sjysta villkor som rimligt ob-tillägg och försäkringar
              som alla andra har rätt till.",1,0,0,/content/corpus/protocols/200708/prot-200708--26.xml,train
Herr AHLMARK (fp) kort genmäle:,"Herr talman! Det är känt för kammaren att professor Herbert Tingsten
              under två årtionden var den mest energiske kritikern i svensk
              debatt av majoritetsvalsystemet.",1,0,0,/content/corpus/protocols/1969/prot-1969--ak--8.xml,train
Anf. 55 Jordbruksminister MARGARETA,WINBERG (s),1,1,1,/content/corpus/protocols/199495/prot-199495--85.xml,train
Anf. 139 ALICE ÅSTRÖM (v) replik:,"Herr talman! Jag är väl medveten om vilka behov man har inom
              kriminalvården och vilken önskan man hade om mer medel. Jag sitter
              själv i kriminalvårdens styrelse och tillhör dem som har skrivit
              under på själva anslagsäskandena. När man ser hur fördelningen
              är och ser att den inte fungerar vägrar jag att säga:",1,0,0,/content/corpus/protocols/200001/prot-200001--103.xml,train
