text1,compounded,file,split
Anf. 35 Statsrådet ANDERS YGEMAN (S),0,/content/corpus/protocols/202021/prot-202021--28.xml,train
Anf. 27 ALICE ÅSTRÖM (v) replik:,0,/content/corpus/protocols/200001/prot-200001--40.xml,train
Anf. 16 ANNIKA ÅHNBERG (vpk):,0,/content/corpus/protocols/198990/prot-198990--106.xml,train
Herr JANSSON i Kalix (s):,0,/content/corpus/protocols/1956/prot-1956--ak--22.xml,train
Anf. 45 JANINE ALM ERICSON (MP) replik,0,/content/corpus/protocols/201617/prot-201617--33.xml,train
"Hans excellens herr statsministern och ministern för utrikesärendena
              Branting: Jag ber endast få intyga, att anledningen till nedsättningen
              av detta anslag ingalunda varit någon ogenhet mot den organisation,
              varom här är fråga, utan det har delat det öde, som så ofantligt
              många andra anslagskrav rönt i dessa tider. Man har prutat något
              tusen kronor här och något tusen kronor där för att vinna någon
              liten besparing. Det, som herr Lindhagen nu åberopar — att det
              i nästa punkt begäres anslag till ett nytt fredssträvande — beror
              på, att man ansåg detta nyuppkomna fredssträvande verkligen vara
              förtjänt och i behov av en liten uppmuntran också från statsmakternas",1,/content/corpus/protocols/1923/prot-1923--fk--10.xml,train
Anf. 118 BO KÖNBERG (fp) replik,0,/content/corpus/protocols/199596/prot-199596--77.xml,train
Anf. 34 CARIN RUNESON (S):,0,/content/corpus/protocols/201112/prot-201112--8.xml,train
Herr GUSTAFSSON i Byske (c):,0,/content/corpus/protocols/1972/prot-1972--57.xml,train
Herr BRANDT (s):,0,/content/corpus/protocols/1965/prot-1965--ak--22.xml,train
Anf. 77 Statsrådet BIRGITTA OHLSSON (FP) replik:,0,/content/corpus/protocols/201314/prot-201314--110.xml,train
Herr Ernfors:,0,/content/corpus/protocols/1928/prot-1928--fk--26.xml,train
Sedan punkten föredragits anförde Herr JÖNSSON i (fp):,0,/content/corpus/protocols/1968/prot-1968-hÃ¶st-ak--39.xml,train
Anf. 63 Näringsminister ANDERS SUNDSTRÖM (s):,0,/content/corpus/protocols/199798/prot-199798--50.xml,train
"Herr NILSSON, FERDINAND, (cp):",0,/content/corpus/protocols/1960/prot-1960-hÃ¶st-fk--27.xml,train
Herr Norman:,0,/content/corpus/protocols/1942/prot-1942--fk--26.xml,train
Anf. 150 JOHAN PEHRSON (fp) replik:,0,/content/corpus/protocols/200506/prot-200506--82.xml,train
Anf. 122 Statsrådet MATILDA ERNKRANS (S),0,/content/corpus/protocols/201920/prot-201920--59.xml,train
"Herr Anderson, Axel Ivar:",0,/content/corpus/protocols/1943/prot-1943--fk--17.xml,train
"Herr handelsministern FELDT erhöll ordet för att besvara herr
            Carlsteins (s) den 15 oktober anmälda fråga, 1975/76:24, och anförde:
            9.",0,/content/corpus/protocols/197576/prot-197576--10.xml,train
Anf. 54 Statsrådet GEORG ANDERSSON:,0,/content/corpus/protocols/198889/prot-198889--31.xml,train
6$ Anf. 31 ANDRE VICE TALMANNEN:,0,/content/corpus/protocols/198283/prot-198283--123.xml,train
Anf. 64 ALLAN WIDMAN (fp) replik:,0,/content/corpus/protocols/200304/prot-200304--46.xml,train
Herr Bergqvist:,0,/content/corpus/protocols/1930/prot-1930--fk--18.xml,train
Herr LÖFVANDER:,0,/content/corpus/protocols/1948/prot-1948--fk--27.xml,train
Herr Hagberg i Malmö:,0,/content/corpus/protocols/1945/prot-1945--ak--20.xml,train
Anf. 19 ANN-CHARLOTTE HAMMAR JOHNSSON (M),0,/content/corpus/protocols/201920/prot-201920--84.xml,train
Herr Karlsson i Munkedal:,0,/content/corpus/protocols/1936/prot-1936--ak--15.xml,train
Herr WENNERFORS (m):,0,/content/corpus/protocols/1969/prot-1969-hÃ¶st-ak--43.xml,train
Herr Holmdahl:,0,/content/corpus/protocols/1931/prot-1931--ak--23.xml,train
Anf. 53 ANITA BRODÉN (fp):,0,/content/corpus/protocols/200405/prot-200405--106.xml,train
Anf. 258 ULLA-BRITT HAGSTRÖM,0,/content/corpus/protocols/200102/prot-200102--123.xml,train
Anf. 10 JABAR AMIN (MP):,0,/content/corpus/protocols/201011/prot-201011--103.xml,train
Anf. 10 Miljö- och klimatminister ISABELLA LÖVIN (MP),0,/content/corpus/protocols/202021/prot-202021--47.xml,train
Anf. 150 JOHAN PEHRSON (FP) replik:,0,/content/corpus/protocols/201112/prot-201112--35.xml,train
Anf. 8 OSWALD SÖDERQVIST (vpk):,0,/content/corpus/protocols/198182/prot-198182--50.xml,train
Anf. 31 MARTIN ÅDAHL (C) replik,0,/content/corpus/protocols/202122/prot-202122--6.xml,train
Anf. 78 CARL FRICK (mp):,0,/content/corpus/protocols/198889/prot-198889--124.xml,train
Anf. 36 CECILIA WIKSTRÖM (fp) replik:,0,/content/corpus/protocols/200506/prot-200506--99.xml,train
Anf. 77 KARIN SVENSSON SMITH (v):,0,/content/corpus/protocols/200304/prot-200304--94.xml,train
Herr KARLSSON i Malung (s) kort genmäle:,0,/content/corpus/protocols/1974/prot-1974--86.xml,train
Anf. 115 JÖRGEN BERGLUND (M) replik,0,/content/corpus/protocols/202021/prot-202021--80.xml,train
Anf. 28 Utbildningsminister THOMAS ÖSTROS (s):,0,/content/corpus/protocols/200001/prot-200001--35.xml,train
Anf. 40 Försvarsminister PETER HULTQVIST (S),0,/content/corpus/protocols/202021/prot-202021--36.xml,train
Anf. 94 STEN-OVE SUNDSTRÖM (s):,0,/content/corpus/protocols/199293/prot-199293--36.xml,train
Anf. 18 LARS HJÄLMERED (M):,0,/content/corpus/protocols/201920/prot-201920--7.xml,train
Arbetsmarknadsministern ROLF WIRTÉN:,0,/content/corpus/protocols/197879/prot-197879--127.xml,train
Anf. 48 PAUL JANSSON (s):,0,/content/corpus/protocols/198182/prot-198182--118.xml,train
Herr Samuelsson:,0,/content/corpus/protocols/1923/prot-1923--ak--25.xml,train
Anf. 18 Statsrådet MARIA LARSSON (kd):,0,/content/corpus/protocols/200607/prot-200607--135.xml,train
Anf. 120 CATHERINE PERSSON (s) replik:,0,/content/corpus/protocols/200506/prot-200506--17.xml,train
Herr Hansson i Stockholm:,0,/content/corpus/protocols/1928/prot-1928--ak--40.xml,train
"Chefen för handelsdepartementet, herr statsrådet LANGE:",0,/content/corpus/protocols/1959/prot-1959-hÃ¶st-ak--31.xml,train
Herr Westman:,0,/content/corpus/protocols/1930/prot-1930--fk--12.xml,train
Anf. 71 HELENE HELLMARK KNUTSSON (S),0,/content/corpus/protocols/201920/prot-201920--110.xml,train
Herr LUNDQVIST:,0,/content/corpus/protocols/1951/prot-1951--fk--17.xml,train
Anf. 2 HANS GÖRAN FRANCK (s):,0,/content/corpus/protocols/198586/prot-198586--47.xml,train
Herr Magnusson i Skövde:,0,/content/corpus/protocols/1931/prot-1931--ak--28.xml,train
Anf. 55 CATHARINA BRÅKENHIELM (s) replik:,0,/content/corpus/protocols/200405/prot-200405--52.xml,train
Anf. 188 Bostadsminister HANS GUSTAFSSON:,0,/content/corpus/protocols/198788/prot-198788--12.xml,train
Herr SVENNING (s):,0,/content/corpus/protocols/1963/prot-1963--ak--24.xml,train
Anf. 56 JAN LINDHOLM (MP):,0,/content/corpus/protocols/201516/prot-201516--99.xml,train
Anf. 5 ARNE KJÖRNSBERG (s) replik:,0,/content/corpus/protocols/200304/prot-200304--106.xml,train
Anf. 47 Utrikesminister ANN LINDE (S),0,/content/corpus/protocols/201920/prot-201920--30.xml,train
Anf. 92 LISELOTTE OLSSON (v):,0,/content/corpus/protocols/200607/prot-200607--14.xml,train
Anf. 65 LARS ADAKTUSSON (KD) replik:,0,/content/corpus/protocols/201920/prot-201920--62.xml,train
Anf. 145 Statsrådet BO KÖNBERG (fp):,0,/content/corpus/protocols/199293/prot-199293--10.xml,train
Anf. 87 ANDERS ÅKESSON (C) replik:,0,/content/corpus/protocols/201617/prot-201617--96.xml,train
Fröken STENBERG (h):,0,/content/corpus/protocols/1968/prot-1968-hÃ¶st-fk--38.xml,train
Anf. 11 JOHAN FORSSELL (M) replik,0,/content/corpus/protocols/201920/prot-201920--41.xml,train
Anf. 31 GÖTE WAHLSTRÖM (s) replik:,0,/content/corpus/protocols/200304/prot-200304--114.xml,train
Anf. 34 BO KÖNBERG (fp):,0,/content/corpus/protocols/19992000/prot-19992000--4.xml,train
Herr OHLIN (fp):,0,/content/corpus/protocols/1968/prot-1968--ak--23.xml,train
Herr WIRMARK (fp) kort genmäle:,0,/content/corpus/protocols/1973/prot-1973--72.xml,train
Herr SVENSSON i Malmö (vpk):,0,/content/corpus/protocols/1973/prot-1973--41.xml,train
Anf. 72 BIRGIT HENRIKSSON (m):,0,/content/corpus/protocols/199091/prot-199091--76.xml,train
Herr Nilsson i Tånga:,0,/content/corpus/protocols/1927/prot-1927--ak--22.xml,train
Herr SANDBERG:,0,/content/corpus/protocols/1948/prot-1948--ak--3.xml,train
Herr KÄRRLANDER:,0,/content/corpus/protocols/1950/prot-1950--ak--20.xml,train
Anf. 14 Finansminister KJELL-OLOF FELDT:,0,/content/corpus/protocols/198586/prot-198586--88.xml,train
Anf. 124 Statsrådet SVEN-ERIK ÖSTERBERG (s):,0,/content/corpus/protocols/200405/prot-200405--29.xml,train
Anf. 150 Kulturminister MARITA ULVSKOG (s):,0,/content/corpus/protocols/199697/prot-199697--105.xml,train
Herr HERMANSSON i Stockholm (vpk) kort genmäle:,0,/content/corpus/protocols/1971/prot-1971--118.xml,train
Herr LARFORS (s):,0,/content/corpus/protocols/1974/prot-1974--40.xml,train
Anf. 124 KRISTINA NILSSON (S),0,/content/corpus/protocols/201516/prot-201516--111.xml,train
Anf. 59 VIOLA CLAESSON (vpk):,0,/content/corpus/protocols/198586/prot-198586--136.xml,train
Herr Nilsson i Hörby:,0,/content/corpus/protocols/1936/prot-1936--ak--43.xml,train
Herr Asplund:,0,/content/corpus/protocols/1928/prot-1928--fk--32.xml,train
Herr ERIKSSON i Bäckmora (bf):,0,/content/corpus/protocols/1957/prot-1957--ak--20.xml,train
Anf. 52 Statsminister STEFAN LÖFVEN (S):,0,/content/corpus/protocols/201920/prot-201920--40.xml,train
Herr von FRIESEN (fp):,0,/content/corpus/protocols/1958/prot-1958-a-ak--8.xml,train
Herr SPETZ (fp):,0,/content/corpus/protocols/1955/prot-1955--fk--18.xml,train
"Herr ANDERSSON, TORSTEN, (cp):",0,/content/corpus/protocols/1968/prot-1968--fk--9.xml,train
Anf. 18 Statsrådet CATHARINA ELMSÄTER-SVÄRD (M):,0,/content/corpus/protocols/201213/prot-201213--129.xml,train
Anf. 28 LOTTA OLSSON (M):,0,/content/corpus/protocols/202122/prot-202122--26.xml,train
Anf. 140 KERSTIN LUNDGREN (C) replik:,0,/content/corpus/protocols/201213/prot-201213--28.xml,train
Anf. 217 GÖRAN MAGNUSSON (s),0,/content/corpus/protocols/199596/prot-199596--41.xml,train
Anf. 45 ULF KRISTERSSON (M) replik,0,/content/corpus/protocols/201920/prot-201920--20.xml,train
Herr JOHANSSON i Stockholm (k):,0,/content/corpus/protocols/1960/prot-1960--ak--12.xml,train
Herr Lindberg:,0,/content/corpus/protocols/1932/prot-1932--ak--37.xml,train
Anf. 178 MONICA GREEN (S) replik:,0,/content/corpus/protocols/201011/prot-201011--9.xml,train
Herr ANDERSSON i Dunker (bf):,0,/content/corpus/protocols/1956/prot-1956-hÃ¶st-ak--28.xml,train
Anf. 37 HANS WALLMARK (M):,0,/content/corpus/protocols/202021/prot-202021--102.xml,train
Anf. 94 AGNE HANSSON (c) replik:,0,/content/corpus/protocols/198788/prot-198788--90.xml,train
Herr förste vice talmannen Hamilton:,0,/content/corpus/protocols/1930/prot-1930--ak--3.xml,train
Herr Hagberg i Malmö:,0,/content/corpus/protocols/1947/prot-1947--ak--7.xml,train
Herr Wallén:,0,/content/corpus/protocols/1933/prot-1933--ak--39.xml,train
Herr SUNDIN (cp):,0,/content/corpus/protocols/1963/prot-1963-hÃ¶st-fk--35.xml,train
Anf. 38 Socialminister INGELA THALÉN,0,/content/corpus/protocols/199091/prot-199091--36.xml,train
"Herr BERG, GUNNAR, (s):",0,/content/corpus/protocols/1959/prot-1959--fk--12.xml,train
Anf. 212 KERSTIN EKMAN (fp):,0,/content/corpus/protocols/198384/prot-198384--160.xml,train
"Herr PETTERSSON, HARALD, (cp):",0,/content/corpus/protocols/1965/prot-1965--fk--15.xml,train
Herr Lithander:,0,/content/corpus/protocols/1920/prot-1920--ak--30.xml,train
Anf. 38 Justitieministern CARL AXEL PETRI:,0,/content/corpus/protocols/198081/prot-198081--135.xml,train
Anf. 18 OSWALD SÖDERQVIST (vpk):,0,/content/corpus/protocols/198182/prot-198182--120.xml,train
Anf. 59 LENNART GUSTAVSSON (v):,0,/content/corpus/protocols/200506/prot-200506--88.xml,train
Anf. 220 BENGT-ANDERS JOHANSSON (m) replik:,0,/content/corpus/protocols/200405/prot-200405--49.xml,train
Anf. 11 Statsminister STEFAN LÖFVEN (S):,0,/content/corpus/protocols/201415/prot-201415--65.xml,train
Herr Magnusson i Skövde:,0,/content/corpus/protocols/1927/prot-1927--ak--11.xml,train
Herr Hansson i Skediga:,0,/content/corpus/protocols/1944/prot-1944--ak--8.xml,train
Herr NORDGREN (h):,0,/content/corpus/protocols/1960/prot-1960--ak--14.xml,train
Anf. 38 GUNNAR ANDRÉN (FP):,0,/content/corpus/protocols/201213/prot-201213--31.xml,train
Anf. 93 CRISTINA HUSMARK PEHRSSON (m):,0,/content/corpus/protocols/200304/prot-200304--36.xml,train
Fru TORBRINK (s):,0,/content/corpus/protocols/1956/prot-1956--ak--13.xml,train
Herr KINDBOM (c) kort genmäle:,0,/content/corpus/protocols/1975/prot-1975--92.xml,train
Anf. 5 FREDRIK REINFELDT (m) replik:,0,/content/corpus/protocols/200304/prot-200304--121.xml,train
Anf. 17 BENGT SILFVERSTRAND (s) replik:,0,/content/corpus/protocols/198990/prot-198990--114.xml,train
Anf. 49 CHRIS HEISTER (m):,0,/content/corpus/protocols/199899/prot-199899--30.xml,train
HÖRNLUND (c):,0,/content/corpus/protocols/199192/prot-199192--89.xml,train
Anf. 177 CAMILLA HANSÉN (MP) replik,0,/content/corpus/protocols/202021/prot-202021--112.xml,train
Herr BRANDT (s) kort genmäle:,0,/content/corpus/protocols/1957/prot-1957--ak--10.xml,train
Anf. 61 GUNNAR ANDRÉN (FP):,0,/content/corpus/protocols/201213/prot-201213--129.xml,train
Anf. 243 BO NILSSON (s):,0,/content/corpus/protocols/199293/prot-199293--115.xml,train
Herr Örne:,0,/content/corpus/protocols/1933/prot-1933--fk--30.xml,train
Anf. 135 JÖRN SVENSSON (vpk):,0,/content/corpus/protocols/198182/prot-198182--119.xml,train
Anf. 69 Näringsminister ANNIE LÖÖF (C):,0,/content/corpus/protocols/201112/prot-201112--93.xml,train
Anf. 138 ELIZA ROSZKOWSKA ÖBERG (M) replik:,0,/content/corpus/protocols/201011/prot-201011--30.xml,train
Anf. 12 BENGT BERG (V):,0,/content/corpus/protocols/201314/prot-201314--69.xml,train
"Nu lät herr talmannen klubban falla och yttrade: Jag får fästa
              den ärade Anslag till talarens uppmärksamhet på att det ärende
              vi här diskutera är frågan om and utikes- : slagen till utrikesdepartementet.
              Jag ber honom hålla sig till sak. lbs)",1,/content/corpus/protocols/1925/prot-1925--fk--30.xml,train
Herr TALMANNEN yttrade:,0,/content/corpus/protocols/1959/prot-1959--ak--15.xml,train
Herr andre vice talmannen Magnusson:,0,/content/corpus/protocols/1937/prot-1937--ak--27.xml,train
Anf. 230 MARIE ENGSTRÖM (v):,0,/content/corpus/protocols/200708/prot-200708--32.xml,train
"Herr PEHRSSON-BRAMSTORP: Herr talman! Föreliggande utskottsutlåtande
              sammanhänger nära med det bankoutskottets utlåtande som vi komma
              att behandla i morgon. Jag skall emellertid undvika att blanda
              ihop de två sakerna, ty det är två skilda saker. Jag vill bara
              säga, att jag förstår reservanternas synpunkter med hänsyn till
              vad som skrevs i förra årets proposition. Det skrevs fel den gången,
              när man i förra årets proposition sade, att subventioneringen
              borde fortsätta endast därest den internationella prisstegringen
              kunde antagas vara av övergående karaktär. Man skulle enligt min
              mening icke ha underlåtit att säga, att även med hänsyn till den
              internationella prisutvecklingen kan det bliva nödvändigt i fortsättningen
              också.",1,/content/corpus/protocols/1948/prot-1948--ak--30.xml,train
Anf. 81 MARTIN ANDREASSON (fp) replik:,0,/content/corpus/protocols/200203/prot-200203--115.xml,train
Herr MAGNUSSON i Borås (h) kort genmäle:,0,/content/corpus/protocols/1967/prot-1967-hÃ¶st-ak--41.xml,train
Herr BERNDTSON (vpk):,0,/content/corpus/protocols/197576/prot-197576--21.xml,train
Anf. 43 Försvarsminister PETER HULTQVIST (S):,0,/content/corpus/protocols/201516/prot-201516--129.xml,train
Anf. 16 GÖTE JONSSON (m) replik:,0,/content/corpus/protocols/199798/prot-199798--117.xml,train
Anf. 76 Arbetsmarknadsminister HILLEVI ENGSTRÖM (M):,0,/content/corpus/protocols/201011/prot-201011--71.xml,train
Anf. 119 BIRGER HAGÅRD (m):,0,/content/corpus/protocols/199293/prot-199293--116.xml,train
Herr talmannen yttrade nu:,0,/content/corpus/protocols/1932/prot-1932--ak--55.xml,train
Anf. 91 BENGT ELIASSON (L),0,/content/corpus/protocols/201617/prot-201617--109.xml,train
Anf. 62 SOFIA MODIGH (KD),0,/content/corpus/protocols/201617/prot-201617--83.xml,train
Anf. 148 ALLAN WIDMAN (fp) replik:,0,/content/corpus/protocols/200809/prot-200809--113.xml,train
"Herr Fjellman, som yttrade:",0,/content/corpus/protocols/1928/prot-1928--ak--22.xml,train
