text1,file
Anf. 17 KARIN PILSÄTER (fp) replik:,/content/corpus/protocols/200001/prot-200001--113.xml
"Herr Ström, Fredrik:",/content/corpus/protocols/1932/prot-1932--fk--44.xml
Herr Ekman:,/content/corpus/protocols/1930/prot-1930--fk--3.xml
Anf. 75 MARIA STOCKHAUS (M):,/content/corpus/protocols/201516/prot-201516--35.xml
Herr NÄSSTRÖM (s):,/content/corpus/protocols/1968/prot-1968--fk--9.xml
Herr JOHANSSON i Norrköping (s):,/content/corpus/protocols/1968/prot-1968--ak--16.xml
Anf. 41 DAG KLACKENBERG (M) replik,/content/corpus/protocols/201718/prot-201718--116.xml
Herr ÖHMAN:,/content/corpus/protocols/1948/prot-1948--fk--13.xml
Herr Hage:,/content/corpus/protocols/1927/prot-1927--ak--38.xml
ALF WENNERFORS (m):,/content/corpus/protocols/198990/prot-198990--44.xml
Herr Möller erhöll på begäran ordet och anförde:,/content/corpus/protocols/1930/prot-1930--fk--12.xml
Herr Hagberg i Malmö:,/content/corpus/protocols/1941/prot-1941--ak--33.xml
Anf. 39 GUNNEL JONÄNG (c) replik:,/content/corpus/protocols/198586/prot-198586--112.xml
Anf. 96 SIW WITTGREN-AHL (s) replik:,/content/corpus/protocols/200708/prot-200708--83.xml
Herr GUSTAVSSON i Alvesta (cp):,/content/corpus/protocols/1969/prot-1969-hÃ¶st-ak--40.xml
Anf. 120 NILS NORDH (s):,/content/corpus/protocols/198586/prot-198586--120.xml
"Industriministern NILS ÅSLING erhöll ordet för att besvara Alf
            Wennerfors (m) den 30 november anmälda interpellation, 1979/80:90,
            och anförde:",/content/corpus/protocols/197980/prot-197980--62.xml
Anf. 140 Arbetsmarknadsminister MONA,/content/corpus/protocols/199091/prot-199091--33.xml
Anf. 72 JOHAN PEHRSON (fp):,/content/corpus/protocols/19992000/prot-19992000--93.xml
Herr Lindman:,/content/corpus/protocols/1922/prot-1922--ak--48.xml
Herr BJÖRKMAN (m):,/content/corpus/protocols/1970/prot-1970--ak--11.xml
Herr WIRMARK (fp):,/content/corpus/protocols/1972/prot-1972--57.xml
Herr GUSTAFSSON i Ronneby (s):,/content/corpus/protocols/197677/prot-197677--40.xml
Anf. 53 Kulturminister LENA ADELSOHN LILJEROTH (m):,/content/corpus/protocols/200809/prot-200809--59.xml
Herr Holmdahl:,/content/corpus/protocols/1929/prot-1929--ak--31.xml
Anf. 20 PER ISRAELSSON (vpk):,/content/corpus/protocols/198182/prot-198182--147.xml
Anf. 57 Socialförsäkringsminister ANNIKA STRANDHÄLL (S) replik,/content/corpus/protocols/201516/prot-201516--25.xml
Herr Grapenson:,/content/corpus/protocols/1927/prot-1927--ak--39.xml
Anf. 76 Jordbruksminister MARGARETA,/content/corpus/protocols/199596/prot-199596--26.xml
Anf. 9 BO LUNDGREN (m):,/content/corpus/protocols/198283/prot-198283--21.xml
Anf. 69 Justitieminister BEATRICE ASK (M):,/content/corpus/protocols/201112/prot-201112--36.xml
Anf. 175 YVONNE ANDERSSON (kd) replik:,/content/corpus/protocols/199899/prot-199899--92.xml
Anf. 30 MAGGI MIKAELSSON (v) replik:,/content/corpus/protocols/199798/prot-199798--48.xml
Anf. 159 ANNE LUDVIGSSON (s):,/content/corpus/protocols/200102/prot-200102--93.xml
Anf. 13 KENNETH KVIST (v) replik:,/content/corpus/protocols/199495/prot-199495--23.xml
Herr CHRISTENSON i Malmö (fp):,/content/corpus/protocols/1964/prot-1964--ak--27.xml
TAGE ADOLFSSON (m):,/content/corpus/protocols/197980/prot-197980--45.xml
Anf. 66 SVEN GUNNAR PERSSON (kd) replik:,/content/corpus/protocols/200708/prot-200708--45.xml
Anf. 64 Klimat- och miljöminister ÅSA ROMSON (MP):,/content/corpus/protocols/201415/prot-201415--59.xml
Anf. 11 PÄR GRANSTEDT (c):,/content/corpus/protocols/198283/prot-198283--143.xml
"Herr Nilsson, Bror:",/content/corpus/protocols/1942/prot-1942--fk--16.xml
Anf. 26 Statsminister STEFAN LÖFVEN (S):,/content/corpus/protocols/201516/prot-201516--81.xml
Anf. 46 Statsrådet ANDERS YGEMAN (S),/content/corpus/protocols/201920/prot-201920--57.xml
TYRA JOHANSSON (s):,/content/corpus/protocols/197980/prot-197980--30.xml
Anf. 138 PER BILL (M) replik,/content/corpus/protocols/201415/prot-201415--42.xml
Herr Dahl:,/content/corpus/protocols/1924/prot-1924--fk--15.xml
Herr WERNER i Tyresö (vpk):,/content/corpus/protocols/1975/prot-1975--14.xml
Anf. 126 Statsrådet MEHMET KAPLAN (MP),/content/corpus/protocols/201516/prot-201516--26.xml
Herr AGERBERG (h):,/content/corpus/protocols/1953/prot-1953-hÃ¶st-ak--30.xml
Anf. 104 INGER DAVIDSON (kd) replik:,/content/corpus/protocols/200607/prot-200607--108.xml
Fröken Hesselgren:,/content/corpus/protocols/1927/prot-1927--fk--20.xml
Herr DE GEER (fp):,/content/corpus/protocols/1954/prot-1954--fk--24.xml
Anf. 7 EDWARD RIEDL (M),/content/corpus/protocols/202122/prot-202122--29.xml
Anf. 106 Justitieminister THOMAS BOD-,/content/corpus/protocols/200102/prot-200102--88.xml
Herr WIKNER (s):,/content/corpus/protocols/1969/prot-1969--ak--14.xml
Anf. 40 Arbetsmarknadsminister SVEN OTTO LITTORIN (m) replik:,/content/corpus/protocols/200708/prot-200708--12.xml
Anf. 139 ESTER LINDSTEDT-STAAF (kd):,/content/corpus/protocols/200001/prot-200001--123.xml
STURE ERICSON (s):,/content/corpus/protocols/197778/prot-197778--108.xml
Herr LINDBLOM (fp):,/content/corpus/protocols/1956/prot-1956--fk--22.xml
Anf. 60 Klimat- och miljöminister ÅSA ROMSON (MP):,/content/corpus/protocols/201415/prot-201415--46.xml
Anf. 28 MAGNUS OSCARSSON (KD) replik,/content/corpus/protocols/201718/prot-201718--64.xml
Herr Larsén:,/content/corpus/protocols/1929/prot-1929--fk--22.xml
Anf. 12 Utrikesminister MARGOT WALLSTRÖM (S):,/content/corpus/protocols/201415/prot-201415--103.xml
Anf. 47 ANNIKA ÅHNBERG (vpk):,/content/corpus/protocols/198889/prot-198889--116.xml
"Chefen för inrikesdepartementet, herr statsrådet HOLMQVIST:",/content/corpus/protocols/1970/prot-1970-hÃ¶st-ak--41.xml
Herr JÖNSSON i (fp):,/content/corpus/protocols/1965/prot-1965-hÃ¶st-ak--40.xml
Anf. 195 ARNE KJÖRNSBERG (s):,/content/corpus/protocols/19992000/prot-19992000--29.xml
Anf. 71 SVEN-OLOF SÄLLSTRÖM (SD) replik:,/content/corpus/protocols/201213/prot-201213--91.xml
Herr WIRMARK (ss):,/content/corpus/protocols/1966/prot-1966--fk--25.xml
Herr SVENINGSSON mäle:,/content/corpus/protocols/1968/prot-1968--fk--10.xml
Anf. 40 PÄR GRANSTEDT (c):,/content/corpus/protocols/198586/prot-198586--99.xml
Anf. 35 Statsrådet ANDERS YGEMAN (S),/content/corpus/protocols/202021/prot-202021--28.xml
Anf. 27 ALICE ÅSTRÖM (v) replik:,/content/corpus/protocols/200001/prot-200001--40.xml
Anf. 16 ANNIKA ÅHNBERG (vpk):,/content/corpus/protocols/198990/prot-198990--106.xml
Herr JANSSON i Kalix (s):,/content/corpus/protocols/1956/prot-1956--ak--22.xml
Anf. 45 JANINE ALM ERICSON (MP) replik,/content/corpus/protocols/201617/prot-201617--33.xml
"Hans excellens herr statsministern och ministern för utrikesärendena
              Branting: Jag ber endast få intyga, att anledningen till nedsättningen
              av detta anslag ingalunda varit någon ogenhet mot den organisation,
              varom här är fråga, utan det har delat det öde, som så ofantligt
              många andra anslagskrav rönt i dessa tider. Man har prutat något
              tusen kronor här och något tusen kronor där för att vinna någon
              liten besparing. Det, som herr Lindhagen nu åberopar — att det
              i nästa punkt begäres anslag till ett nytt fredssträvande — beror
              på, att man ansåg detta nyuppkomna fredssträvande verkligen vara
              förtjänt och i behov av en liten uppmuntran också från statsmakternas",/content/corpus/protocols/1923/prot-1923--fk--10.xml
Anf. 118 BO KÖNBERG (fp) replik,/content/corpus/protocols/199596/prot-199596--77.xml
Anf. 34 CARIN RUNESON (S):,/content/corpus/protocols/201112/prot-201112--8.xml
Herr GUSTAFSSON i Byske (c):,/content/corpus/protocols/1972/prot-1972--57.xml
Herr BRANDT (s):,/content/corpus/protocols/1965/prot-1965--ak--22.xml
Anf. 77 Statsrådet BIRGITTA OHLSSON (FP) replik:,/content/corpus/protocols/201314/prot-201314--110.xml
Herr Ernfors:,/content/corpus/protocols/1928/prot-1928--fk--26.xml
Sedan punkten föredragits anförde Herr JÖNSSON i (fp):,/content/corpus/protocols/1968/prot-1968-hÃ¶st-ak--39.xml
Anf. 63 Näringsminister ANDERS SUNDSTRÖM (s):,/content/corpus/protocols/199798/prot-199798--50.xml
"Herr NILSSON, FERDINAND, (cp):",/content/corpus/protocols/1960/prot-1960-hÃ¶st-fk--27.xml
Herr Norman:,/content/corpus/protocols/1942/prot-1942--fk--26.xml
Anf. 150 JOHAN PEHRSON (fp) replik:,/content/corpus/protocols/200506/prot-200506--82.xml
Anf. 122 Statsrådet MATILDA ERNKRANS (S),/content/corpus/protocols/201920/prot-201920--59.xml
"Herr Anderson, Axel Ivar:",/content/corpus/protocols/1943/prot-1943--fk--17.xml
"Herr handelsministern FELDT erhöll ordet för att besvara herr
            Carlsteins (s) den 15 oktober anmälda fråga, 1975/76:24, och anförde:
            9.",/content/corpus/protocols/197576/prot-197576--10.xml
Anf. 54 Statsrådet GEORG ANDERSSON:,/content/corpus/protocols/198889/prot-198889--31.xml
6$ Anf. 31 ANDRE VICE TALMANNEN:,/content/corpus/protocols/198283/prot-198283--123.xml
Anf. 64 ALLAN WIDMAN (fp) replik:,/content/corpus/protocols/200304/prot-200304--46.xml
Herr Bergqvist:,/content/corpus/protocols/1930/prot-1930--fk--18.xml
Herr LÖFVANDER:,/content/corpus/protocols/1948/prot-1948--fk--27.xml
Herr Hagberg i Malmö:,/content/corpus/protocols/1945/prot-1945--ak--20.xml
Anf. 19 ANN-CHARLOTTE HAMMAR JOHNSSON (M),/content/corpus/protocols/201920/prot-201920--84.xml
Herr Karlsson i Munkedal:,/content/corpus/protocols/1936/prot-1936--ak--15.xml
Herr WENNERFORS (m):,/content/corpus/protocols/1969/prot-1969-hÃ¶st-ak--43.xml
Herr Holmdahl:,/content/corpus/protocols/1931/prot-1931--ak--23.xml
Anf. 53 ANITA BRODÉN (fp):,/content/corpus/protocols/200405/prot-200405--106.xml
Anf. 258 ULLA-BRITT HAGSTRÖM,/content/corpus/protocols/200102/prot-200102--123.xml
Anf. 10 JABAR AMIN (MP):,/content/corpus/protocols/201011/prot-201011--103.xml
Anf. 10 Miljö- och klimatminister ISABELLA LÖVIN (MP),/content/corpus/protocols/202021/prot-202021--47.xml
Anf. 150 JOHAN PEHRSON (FP) replik:,/content/corpus/protocols/201112/prot-201112--35.xml
Anf. 8 OSWALD SÖDERQVIST (vpk):,/content/corpus/protocols/198182/prot-198182--50.xml
Anf. 31 MARTIN ÅDAHL (C) replik,/content/corpus/protocols/202122/prot-202122--6.xml
Anf. 78 CARL FRICK (mp):,/content/corpus/protocols/198889/prot-198889--124.xml
Anf. 36 CECILIA WIKSTRÖM (fp) replik:,/content/corpus/protocols/200506/prot-200506--99.xml
Anf. 77 KARIN SVENSSON SMITH (v):,/content/corpus/protocols/200304/prot-200304--94.xml
Herr KARLSSON i Malung (s) kort genmäle:,/content/corpus/protocols/1974/prot-1974--86.xml
Anf. 115 JÖRGEN BERGLUND (M) replik,/content/corpus/protocols/202021/prot-202021--80.xml
Anf. 28 Utbildningsminister THOMAS ÖSTROS (s):,/content/corpus/protocols/200001/prot-200001--35.xml
Anf. 40 Försvarsminister PETER HULTQVIST (S),/content/corpus/protocols/202021/prot-202021--36.xml
Anf. 94 STEN-OVE SUNDSTRÖM (s):,/content/corpus/protocols/199293/prot-199293--36.xml
Anf. 18 LARS HJÄLMERED (M):,/content/corpus/protocols/201920/prot-201920--7.xml
Arbetsmarknadsministern ROLF WIRTÉN:,/content/corpus/protocols/197879/prot-197879--127.xml
Anf. 48 PAUL JANSSON (s):,/content/corpus/protocols/198182/prot-198182--118.xml
Herr Samuelsson:,/content/corpus/protocols/1923/prot-1923--ak--25.xml
Anf. 18 Statsrådet MARIA LARSSON (kd):,/content/corpus/protocols/200607/prot-200607--135.xml
Anf. 120 CATHERINE PERSSON (s) replik:,/content/corpus/protocols/200506/prot-200506--17.xml
Herr Hansson i Stockholm:,/content/corpus/protocols/1928/prot-1928--ak--40.xml
"Chefen för handelsdepartementet, herr statsrådet LANGE:",/content/corpus/protocols/1959/prot-1959-hÃ¶st-ak--31.xml
Herr Westman:,/content/corpus/protocols/1930/prot-1930--fk--12.xml
Anf. 71 HELENE HELLMARK KNUTSSON (S),/content/corpus/protocols/201920/prot-201920--110.xml
Herr LUNDQVIST:,/content/corpus/protocols/1951/prot-1951--fk--17.xml
Anf. 2 HANS GÖRAN FRANCK (s):,/content/corpus/protocols/198586/prot-198586--47.xml
Herr Magnusson i Skövde:,/content/corpus/protocols/1931/prot-1931--ak--28.xml
Anf. 55 CATHARINA BRÅKENHIELM (s) replik:,/content/corpus/protocols/200405/prot-200405--52.xml
Anf. 188 Bostadsminister HANS GUSTAFSSON:,/content/corpus/protocols/198788/prot-198788--12.xml
Herr SVENNING (s):,/content/corpus/protocols/1963/prot-1963--ak--24.xml
Anf. 56 JAN LINDHOLM (MP):,/content/corpus/protocols/201516/prot-201516--99.xml
Anf. 5 ARNE KJÖRNSBERG (s) replik:,/content/corpus/protocols/200304/prot-200304--106.xml
Anf. 47 Utrikesminister ANN LINDE (S),/content/corpus/protocols/201920/prot-201920--30.xml
Anf. 92 LISELOTTE OLSSON (v):,/content/corpus/protocols/200607/prot-200607--14.xml
Anf. 65 LARS ADAKTUSSON (KD) replik:,/content/corpus/protocols/201920/prot-201920--62.xml
Anf. 145 Statsrådet BO KÖNBERG (fp):,/content/corpus/protocols/199293/prot-199293--10.xml
Anf. 87 ANDERS ÅKESSON (C) replik:,/content/corpus/protocols/201617/prot-201617--96.xml
Fröken STENBERG (h):,/content/corpus/protocols/1968/prot-1968-hÃ¶st-fk--38.xml
Anf. 11 JOHAN FORSSELL (M) replik,/content/corpus/protocols/201920/prot-201920--41.xml
Anf. 31 GÖTE WAHLSTRÖM (s) replik:,/content/corpus/protocols/200304/prot-200304--114.xml
Anf. 34 BO KÖNBERG (fp):,/content/corpus/protocols/19992000/prot-19992000--4.xml
Herr OHLIN (fp):,/content/corpus/protocols/1968/prot-1968--ak--23.xml
Herr WIRMARK (fp) kort genmäle:,/content/corpus/protocols/1973/prot-1973--72.xml
Herr SVENSSON i Malmö (vpk):,/content/corpus/protocols/1973/prot-1973--41.xml
Anf. 72 BIRGIT HENRIKSSON (m):,/content/corpus/protocols/199091/prot-199091--76.xml
Herr Nilsson i Tånga:,/content/corpus/protocols/1927/prot-1927--ak--22.xml
Herr SANDBERG:,/content/corpus/protocols/1948/prot-1948--ak--3.xml
Herr KÄRRLANDER:,/content/corpus/protocols/1950/prot-1950--ak--20.xml
Anf. 14 Finansminister KJELL-OLOF FELDT:,/content/corpus/protocols/198586/prot-198586--88.xml
Anf. 124 Statsrådet SVEN-ERIK ÖSTERBERG (s):,/content/corpus/protocols/200405/prot-200405--29.xml
Anf. 150 Kulturminister MARITA ULVSKOG (s):,/content/corpus/protocols/199697/prot-199697--105.xml
Herr HERMANSSON i Stockholm (vpk) kort genmäle:,/content/corpus/protocols/1971/prot-1971--118.xml
Herr LARFORS (s):,/content/corpus/protocols/1974/prot-1974--40.xml
Anf. 124 KRISTINA NILSSON (S),/content/corpus/protocols/201516/prot-201516--111.xml
Anf. 59 VIOLA CLAESSON (vpk):,/content/corpus/protocols/198586/prot-198586--136.xml
Herr Nilsson i Hörby:,/content/corpus/protocols/1936/prot-1936--ak--43.xml
Herr Asplund:,/content/corpus/protocols/1928/prot-1928--fk--32.xml
Herr ERIKSSON i Bäckmora (bf):,/content/corpus/protocols/1957/prot-1957--ak--20.xml
Anf. 52 Statsminister STEFAN LÖFVEN (S):,/content/corpus/protocols/201920/prot-201920--40.xml
Herr von FRIESEN (fp):,/content/corpus/protocols/1958/prot-1958-a-ak--8.xml
Herr SPETZ (fp):,/content/corpus/protocols/1955/prot-1955--fk--18.xml
"Herr ANDERSSON, TORSTEN, (cp):",/content/corpus/protocols/1968/prot-1968--fk--9.xml
Anf. 18 Statsrådet CATHARINA ELMSÄTER-SVÄRD (M):,/content/corpus/protocols/201213/prot-201213--129.xml
Anf. 28 LOTTA OLSSON (M):,/content/corpus/protocols/202122/prot-202122--26.xml
Anf. 140 KERSTIN LUNDGREN (C) replik:,/content/corpus/protocols/201213/prot-201213--28.xml
Anf. 217 GÖRAN MAGNUSSON (s),/content/corpus/protocols/199596/prot-199596--41.xml
Anf. 45 ULF KRISTERSSON (M) replik,/content/corpus/protocols/201920/prot-201920--20.xml
Herr JOHANSSON i Stockholm (k):,/content/corpus/protocols/1960/prot-1960--ak--12.xml
Herr Lindberg:,/content/corpus/protocols/1932/prot-1932--ak--37.xml
Anf. 178 MONICA GREEN (S) replik:,/content/corpus/protocols/201011/prot-201011--9.xml
Herr ANDERSSON i Dunker (bf):,/content/corpus/protocols/1956/prot-1956-hÃ¶st-ak--28.xml
Anf. 37 HANS WALLMARK (M):,/content/corpus/protocols/202021/prot-202021--102.xml
Anf. 94 AGNE HANSSON (c) replik:,/content/corpus/protocols/198788/prot-198788--90.xml
Herr förste vice talmannen Hamilton:,/content/corpus/protocols/1930/prot-1930--ak--3.xml
Herr Hagberg i Malmö:,/content/corpus/protocols/1947/prot-1947--ak--7.xml
Herr Wallén:,/content/corpus/protocols/1933/prot-1933--ak--39.xml
Herr SUNDIN (cp):,/content/corpus/protocols/1963/prot-1963-hÃ¶st-fk--35.xml
Anf. 38 Socialminister INGELA THALÉN,/content/corpus/protocols/199091/prot-199091--36.xml
"Herr BERG, GUNNAR, (s):",/content/corpus/protocols/1959/prot-1959--fk--12.xml
Anf. 212 KERSTIN EKMAN (fp):,/content/corpus/protocols/198384/prot-198384--160.xml
"Herr PETTERSSON, HARALD, (cp):",/content/corpus/protocols/1965/prot-1965--fk--15.xml
Herr Lithander:,/content/corpus/protocols/1920/prot-1920--ak--30.xml
Anf. 38 Justitieministern CARL AXEL PETRI:,/content/corpus/protocols/198081/prot-198081--135.xml
Anf. 18 OSWALD SÖDERQVIST (vpk):,/content/corpus/protocols/198182/prot-198182--120.xml
Anf. 59 LENNART GUSTAVSSON (v):,/content/corpus/protocols/200506/prot-200506--88.xml
Anf. 220 BENGT-ANDERS JOHANSSON (m) replik:,/content/corpus/protocols/200405/prot-200405--49.xml
Anf. 11 Statsminister STEFAN LÖFVEN (S):,/content/corpus/protocols/201415/prot-201415--65.xml
Herr Magnusson i Skövde:,/content/corpus/protocols/1927/prot-1927--ak--11.xml
Herr Hansson i Skediga:,/content/corpus/protocols/1944/prot-1944--ak--8.xml
Herr NORDGREN (h):,/content/corpus/protocols/1960/prot-1960--ak--14.xml
Anf. 38 GUNNAR ANDRÉN (FP):,/content/corpus/protocols/201213/prot-201213--31.xml
Anf. 93 CRISTINA HUSMARK PEHRSSON (m):,/content/corpus/protocols/200304/prot-200304--36.xml
Fru TORBRINK (s):,/content/corpus/protocols/1956/prot-1956--ak--13.xml
Herr KINDBOM (c) kort genmäle:,/content/corpus/protocols/1975/prot-1975--92.xml
Anf. 5 FREDRIK REINFELDT (m) replik:,/content/corpus/protocols/200304/prot-200304--121.xml
Anf. 17 BENGT SILFVERSTRAND (s) replik:,/content/corpus/protocols/198990/prot-198990--114.xml
Anf. 49 CHRIS HEISTER (m):,/content/corpus/protocols/199899/prot-199899--30.xml
HÖRNLUND (c):,/content/corpus/protocols/199192/prot-199192--89.xml
Anf. 177 CAMILLA HANSÉN (MP) replik,/content/corpus/protocols/202021/prot-202021--112.xml
Herr BRANDT (s) kort genmäle:,/content/corpus/protocols/1957/prot-1957--ak--10.xml
Anf. 61 GUNNAR ANDRÉN (FP):,/content/corpus/protocols/201213/prot-201213--129.xml
Anf. 243 BO NILSSON (s):,/content/corpus/protocols/199293/prot-199293--115.xml
Herr Örne:,/content/corpus/protocols/1933/prot-1933--fk--30.xml
Anf. 135 JÖRN SVENSSON (vpk):,/content/corpus/protocols/198182/prot-198182--119.xml
Anf. 69 Näringsminister ANNIE LÖÖF (C):,/content/corpus/protocols/201112/prot-201112--93.xml
Anf. 138 ELIZA ROSZKOWSKA ÖBERG (M) replik:,/content/corpus/protocols/201011/prot-201011--30.xml
Anf. 12 BENGT BERG (V):,/content/corpus/protocols/201314/prot-201314--69.xml
"Nu lät herr talmannen klubban falla och yttrade: Jag får fästa
              den ärade Anslag till talarens uppmärksamhet på att det ärende
              vi här diskutera är frågan om and utikes- : slagen till utrikesdepartementet.
              Jag ber honom hålla sig till sak. lbs)",/content/corpus/protocols/1925/prot-1925--fk--30.xml
Herr TALMANNEN yttrade:,/content/corpus/protocols/1959/prot-1959--ak--15.xml
Herr andre vice talmannen Magnusson:,/content/corpus/protocols/1937/prot-1937--ak--27.xml
Anf. 230 MARIE ENGSTRÖM (v):,/content/corpus/protocols/200708/prot-200708--32.xml
"Herr PEHRSSON-BRAMSTORP: Herr talman! Föreliggande utskottsutlåtande
              sammanhänger nära med det bankoutskottets utlåtande som vi komma
              att behandla i morgon. Jag skall emellertid undvika att blanda
              ihop de två sakerna, ty det är två skilda saker. Jag vill bara
              säga, att jag förstår reservanternas synpunkter med hänsyn till
              vad som skrevs i förra årets proposition. Det skrevs fel den gången,
              när man i förra årets proposition sade, att subventioneringen
              borde fortsätta endast därest den internationella prisstegringen
              kunde antagas vara av övergående karaktär. Man skulle enligt min
              mening icke ha underlåtit att säga, att även med hänsyn till den
              internationella prisutvecklingen kan det bliva nödvändigt i fortsättningen
              också.",/content/corpus/protocols/1948/prot-1948--ak--30.xml
Anf. 81 MARTIN ANDREASSON (fp) replik:,/content/corpus/protocols/200203/prot-200203--115.xml
Herr MAGNUSSON i Borås (h) kort genmäle:,/content/corpus/protocols/1967/prot-1967-hÃ¶st-ak--41.xml
Herr BERNDTSON (vpk):,/content/corpus/protocols/197576/prot-197576--21.xml
Anf. 43 Försvarsminister PETER HULTQVIST (S):,/content/corpus/protocols/201516/prot-201516--129.xml
Anf. 16 GÖTE JONSSON (m) replik:,/content/corpus/protocols/199798/prot-199798--117.xml
Anf. 76 Arbetsmarknadsminister HILLEVI ENGSTRÖM (M):,/content/corpus/protocols/201011/prot-201011--71.xml
Anf. 119 BIRGER HAGÅRD (m):,/content/corpus/protocols/199293/prot-199293--116.xml
Herr talmannen yttrade nu:,/content/corpus/protocols/1932/prot-1932--ak--55.xml
Anf. 91 BENGT ELIASSON (L),/content/corpus/protocols/201617/prot-201617--109.xml
Anf. 62 SOFIA MODIGH (KD),/content/corpus/protocols/201617/prot-201617--83.xml
Anf. 148 ALLAN WIDMAN (fp) replik:,/content/corpus/protocols/200809/prot-200809--113.xml
"Herr Fjellman, som yttrade:",/content/corpus/protocols/1928/prot-1928--ak--22.xml
Anf. 166 BARBRO WESTERHOLM (fp):,/content/corpus/protocols/200607/prot-200607--69.xml
Anf. 59 HELENA GELLERMAN (L) replik,/content/corpus/protocols/201819/prot-201819--96.xml
Anf. 46 JONAS SJÖSTEDT (V) replik:,/content/corpus/protocols/201920/prot-201920--58.xml
Anf. 50 Miljö- och klimatminister ISABELLA LÖVIN (MP),/content/corpus/protocols/201819/prot-201819--91.xml
Anf. 144 ANDREAS NORLÉN (M) replik:,/content/corpus/protocols/201314/prot-201314--62.xml
Anf. 10 Statsrådet ALF SVENSSON (kds):,/content/corpus/protocols/199394/prot-199394--20.xml
Herr UNDÉN (s):,/content/corpus/protocols/1964/prot-1964--fk--12.xml
Anf. 146 ANNIKA NORDGREN (mp),/content/corpus/protocols/199596/prot-199596--56.xml
"Perssons (s) den 14 november anmälda fråga, 1978/79:126, och
            anförde:",/content/corpus/protocols/197879/prot-197879--37.xml
Anf. 38 ULF KRISTERSSON (M) replik,/content/corpus/protocols/201819/prot-201819--103.xml
Anf. 44 PATRIK ENGSTRÖM (S) replik,/content/corpus/protocols/201516/prot-201516--29.xml
Herr TALMANNEN yttrade:,/content/corpus/protocols/1968/prot-1968--ak--29.xml
Anf. 75 SONIA KARLSSON (s):,/content/corpus/protocols/200405/prot-200405--21.xml
Anf. 106 JENS HOLM (V) replik:,/content/corpus/protocols/201314/prot-201314--12.xml
Anf. 107 BIRGER SCHLAUG (mp),/content/corpus/protocols/199596/prot-199596--31.xml
Anf. 30 Andre vice talman EVA ZETTER-,/content/corpus/protocols/200102/prot-200102--48.xml
Herr Törnkvist i Karlskrona:,/content/corpus/protocols/1933/prot-1933--ak--15.xml
Anf. 13 INGEMAR KIHLSTRÖM (KD),/content/corpus/protocols/201920/prot-201920--105.xml
Anf. 80 BERTIL DANIELSSON (m) replik:,/content/corpus/protocols/198687/prot-198687--108.xml
Anf. 108 DANIEL RIAZAT (V),/content/corpus/protocols/201920/prot-201920--110.xml
