text,tag,hash,file
"Herr talman! Jag tackar för en god debatt. Att driva in skatt
              på ett rättssäkert, korrekt och förutsägbart sätt är grunden både
              för att ett välstånd ska kunna skapas och för att vi ska kunna
              fördela det välståndet i form av välfärd.",0,68851c98,/content/corpus/protocols/201920/prot-201920--44.xml  
Anf. 25 LINDA WESTERLUND SNECKER (V) replik,1,5049ca29,/content/corpus/protocols/201920/prot-201920--41.xml
till statsrådet Anders Ygeman (S),0,4cf97ff5,/content/corpus/protocols/201920/prot-201920--36.xml
"Med det sagt är det som sagt synnerligen sorgligt att politiker
              i Sverige i dag, 2019, inte kan undvika att exploatera tragiska
              händelser på det vis man gör. Det är ett politiskt spel som är
              ovärdigt, och vi ser fredagens misstroendeomröstning som bara
              ett steg på ett sluttande plan när det gäller hanteringen av rättspolitikens
              område.",0,f1ad4e25,/content/corpus/protocols/201920/prot-201920--31.xml
Anf. 5 Miljö- och klimatminister ISABELLA LÖVIN (MP),1,71462162,/content/corpus/protocols/201920/prot-201920--30.xml
"Men det är ändå viktigt att lagstiftning utvärderas. Vi har i
              våra roller som statsråd eller riksdagsledamot möjligheter att
              komma med förslag till hur lagstiftningen kan förändras, förstärkas
              eller förbättras. Men vi ska inte hamna i ett läge där vi börjar
              kritisera enskilda åklagare eller ta upp enskilda ärenden. En
              sådan utveckling ska vi inte ha.",0,931a5274,/content/corpus/protocols/201920/prot-201920--29.xml
"Fina ord kan vem som helst leverera. Det statsrådet säger är
              helt okontroversiellt. Vi är helt överens om att vi ska ha goda
              villkor för dem som är anställda i företag och på myndigheter.
              Det är helt okontroversiellt att vi ska ha goda villkor för näringslivet.
              Det är vi alltså helt överens om, så den debatten kan vi lägga
              åt sidan.",0,77583cee,/content/corpus/protocols/201920/prot-201920--17.xml
Anf. 13 JENS HOLM (V),1,03bbfafb,/content/corpus/protocols/201920/prot-201920--14.xml
av Katarina Brännström (M),0,00b58dc5,/content/corpus/protocols/201920/prot-201920--127.xml
"Detta är inte en grupp människor som man ska skälla på. Det här
              är människor som är precis som alla andra som jobbar för att få
              ekonomin att gå runt i vårt land. Det är en grupp som vi ska hylla.",0,42f1380b,/content/corpus/protocols/201920/prot-201920--117.xml
2019/20:1201 Coronasmittan och skolplikten,0,9ceed8af,/content/corpus/protocols/201920/prot-201920--115.xml
"För utskottet: 16 S, 11 M, 5 C, 4 V, 3 L, 3 MP",0,3a9855db,/content/corpus/protocols/201920/prot-201920--106.xml
av Ebba Hermansson (SD),0,82706b73,/content/corpus/protocols/201920/prot-201920--102.xml
"Det är bara ett konstaterande, kanske inte en fråga.",0,cfe47392,/content/corpus/protocols/201819/prot-201819--93.xml  
"Vi vet också erfarenhetsmässigt att till exempel investeringen
              i Öre ­ sundsbron har varit väldigt, väldigt lönsam samhällsekonomiskt.
              På tolv år har den, vill jag minnas, levererat ett värde på 75
              miljarder svenska kronor. Det är ungefär det dubbla gentemot vad
              den investeringen kostade.",0,10d4b7b7,/content/corpus/protocols/201819/prot-201819--91.xml
2018/19:619 Rehabiliteringskedjan,0,4eb3b48c,/content/corpus/protocols/201819/prot-201819--89.xml
"När det gäller etableringar som en gruva är det oerhört viktigt
              att alla aspekter gällande miljö, andra näringar, samhällsförändringen,
              remissvar och så vidare hanteras seriöst och grundligt. Att som
              i tillkännagivandet förkorta och förenkla tillståndsprocessen
              är ju lite att endast tillmötesgå en part.",0,f85163ab,/content/corpus/protocols/201819/prot-201819--88.xml
"Vildsvinet är dessutom ett väldigt bra livsmedel. Det kan vara
              en bra och viktig del i livsmedelsstrategin, men då måste det
              bli enklare att få ut det till konsument. I Tyskland jobbar man
              efter en modell där man skjuter någonstans mellan 500 000 och
              600 000 vildsvin varje år som man sedan kan sälja direkt till
              konsument, lokala näringsidkare eller restauranger. Det funkar
              väldigt bra i Tyskland. De har inga fall av trikinos, och det
              är väl det man är mest bekymrad över med vildsvinen. Det finns
              andra svårigheter med att ta hand om ett vildsvin, bakterier och
              sådant, men trikinerna är det viktigaste.",0,476f60a2,/content/corpus/protocols/201819/prot-201819--84.xml
43 för res. 14,0,b3909de0,/content/corpus/protocols/201819/prot-201819--77.xml
Magnus Jacobsson (KD),0,6d700908,/content/corpus/protocols/201819/prot-201819--7.xml FN
"Elisabeth Falkhaven (MP) anmälde att hon avsett att avstå från
              att rösta men markerats ha röstat ja.",0,d29ee438,/content/corpus/protocols/201819/prot-201819--68.xml
"Lawen Redar har helt rätt i att vi måste se till att kulturskapare
              får betalt. Det var orsaken till att även vi i Centerpartiet gärna
              ville ha ett direktiv som tog tag i dessa frågor. Men den lösning
              som nu har kommit fram innebär att vi i slutändan sitter i en
              situation där ingen kulturskapare som bygger vidare på upphovsrättsskyddat
              material kan veta om det får publiceras och där internetgiganter
              får avgöra genom sina filter. Det ska också finnas någon typ av
              överklagandefunktion som ingen ännu vet hur den ska se ut. Ingen
              minister kan än så länge kommentera hur den ska skapas, men den
              ska avgöra om någonting får framföras.",0,6ae7b14e,/content/corpus/protocols/201819/prot-201819--68.xml
Anf. 87 MATTIAS BÄCKSTRÖM JOHANSSON (SD):,1,46705fcf,/content/corpus/protocols/201819/prot-201819--63.xml
ledamot i civilutskottet,0,308ac082,/content/corpus/protocols/201819/prot-201819--52.xml  
"Fru talman! Min fråga är: Anser ministern att förslagen i lagrådsremissen
              för implementering av EU-direktivet fullt ut är nödvändiga? Är
              de verkligen nödvändiga? Kräver EU detta fullt ut?",0,3bc0194f,/content/corpus/protocols/201819/prot-201819--51.xml
"Fru talman! Jag har ytterligare en fråga till statsrådet, och
              den gäller budgeten.",0,a507422b,/content/corpus/protocols/201819/prot-201819--46.xml
"Herr talman! Kriminaliteten ska bekämpas med samhällets fulla
              kraft. Nu söker rekordmånga kvinnor och män polisutbildningen.
              De ska ha stöd av rejäla resurser, samordnade myndigheter och
              effektivare lagstiftning.",0,728c0f95,/content/corpus/protocols/201819/prot-201819--40.xml
"Herr talman! Jag vill för Liberalernas räkning yrka bifall till
              våra reservationer 4 och 8.",0,9e4c8e80,/content/corpus/protocols/201819/prot-201819--27.xml  
"Fru talman! Ni får ursäkta min röst; jag låg sjuk hela förra
              veckan.",0,c0abd5e3,/content/corpus/protocols/201819/prot-201819--19.xml
"Herr talman! Till skillnad från socialministern har jag en lång
              sjukvårdsbakgrund och är väldigt engagerad i sjukvård. Jag äger
              och driver en vårdcentral i Västerbottens inland, vilket innebär
              ett stort engagemang och en stor kunskap om sjukvård.",0,57d6e587,/content/corpus/protocols/201819/prot-201819--110.xml
"Sveriges ståndpunkt är att alla de som har begått allvarliga
              brott i konflikterna i Syrien och Irak ska ställas till svars.
              Sverige har genom bland annat Romstadgan åtagit sig att spåra
              upp, utreda och medverka till att förövare av folkmord, brott
              mot mänskligheten och krigsförbrytelser lagförs. Regeringen har
              tagit och tar fortsatt detta på största allvar. Med sam ­ ma beslutsamhet
              bekämpar vi terrorism.",0,ac49588b,/content/corpus/protocols/201819/prot-201819--109.xml
Andre vice talmannen meddelade,0,b4ee27be,/content/corpus/protocols/201819/prot-201819--107.xml
"Sverige har anslutit sig till ILO:s sjöarbetskonvention, vilket
              är jätte ­ bra. Den tydliggör regler om arbetsförhållanden och
              mänskliga rättigheter ombord på fartyg. Sverige har ett ansvar
              för att detta verkligen följs. Vi i Vänsterpartiet vill tillse
              att det i statliga upphandlingar och exportsats ­ ningar ställs
              krav på att mänskliga rättigheter respekteras i såväl produk ­
              tionsledet som transportledet.",0,83c8fb77,/content/corpus/protocols/201819/prot-201819--100.xml
Ledamot av riksdagen Ersättare,0,52932b2d,/content/corpus/protocols/201819/prot-201819--1.xml
Anf. 148 JENS HOLM (V) replik:,1,51be0629,/content/corpus/protocols/201718/prot-201718--95.xml
Propositioner,0,6e16107f,/content/corpus/protocols/201718/prot-201718--91.xml
Partivis fördelning av rösterna:,0,3b331c85,/content/corpus/protocols/201718/prot-201718--88.xml
Votering:,0,10c3edd8,/content/corpus/protocols/201718/prot-201718--80.xml
"Regeringen har visat handlingskraft genom att föreslå en tillfällig
              reglering för denna grupp. Förslaget har varit ute på remiss,
              och vi arbetar just nu med de remissvar som har inkommit och avser
              att återkomma. Jag ser fram emot att vi kan få stöd för förslaget
              i Sveriges riksdag, för vad jag förstår finns det också borgerliga
              partier som skulle kunna stödja det.",0,c9ae4bb7,/content/corpus/protocols/201718/prot-201718--77.xml  
Anf. 88 ANGELIKA BENGTSSON (SD) replik,1,89acd443,/content/corpus/protocols/201718/prot-201718--68.xml
"Det utvecklingsarbete som pågår inom myndigheter och kommuner
              behöver spridas. Det behöver skapas verkliga förutsättningar för
              att möjliggöra för det romska civilsamhället att engagera sig
              i arbetet. Regeringen bör tillsammans med det romska civilsamhället
              se över inrättandet av en nationell kunskaps- och utbildningsinstitution
              med ett tydligt uppdrag kring romernas kultur, historia och språk.
              Inte minst behöver jämställdhetsaspekten ingå i alla åtgärder
              i arbetet för romsk inkludering.",0,1dd4e7fc,/content/corpus/protocols/201718/prot-201718--64.xml
"Vi måste också se helheten i politiken. Jag är stolt över att
              vi har antagit en bredbandsstrategi som för första gången gäller
              alla. Nu ska 100 procent av den svenska befolkningen få tillgång
              till en snabb kommunikation med det moderna kommunikationssättet.",0,292e1bce,/content/corpus/protocols/201718/prot-201718--60.xml  
den 28 december,0,4db561a5,/content/corpus/protocols/201718/prot-201718--55.xml
"Kamerabevakning är ett intrång i den personliga integriteten.
              Ä ven om vi är överens om att det är nödvändigt att underlätta
              polisens arbete bör utredaren få en rimlig chans att göra ett
              grundligt arbete så att vi har ett bra underlag inför kommande
              beslut.",0,1cbb6eb8,/content/corpus/protocols/201718/prot-201718--50.xml  
Överläggningen var härmed avslutad.,0,7395cb23,/content/corpus/protocols/201718/prot-201718--5.xml
"Politiken måste tillgodose näringslivets behov av rätt utbildad
              arbetskraft. Men det är inte bara näringslivets behov som tillgodoses
              med många utbildningsplatser av skilda slag, utan även samhällets
              behov av välutbildade människor som genom väl lönade arbeten genererar
              högre skatteintäkter, som i sin tur bidrar till upprustning och
              utveckling av den svenska välfärden.",0,22ed1ccb,/content/corpus/protocols/201718/prot-201718--49.xml  
(Applåder),0,2260c72e,/content/corpus/protocols/201718/prot-201718--49.xml
"Med lägre skatt på arbete får vi i Sverige fler arbetade timmar,
              vilket ger mer pengar till välfärden. Men, i stället för skatteväxling
              väljer reger ­ ingen att höja skatten på både arbete och miljöstörande
              verksamhet. Det är bra med ökad skatt på miljöstörande verksamhet,
              men man borde också göra en växling, vilket man inte gör.",0,7e48f643,/content/corpus/protocols/201718/prot-201718--48.xml
"av andre vice talmannen från dess början till och med § 8 anf.
            43 (delvis),",0,54086c14,/content/corpus/protocols/201718/prot-201718--43.xml  
suppleant i Valprövningsnämnden,0,a065a732,/content/corpus/protocols/201718/prot-201718--41.xml  
"Jag välkomnar verkligen detta, men jag beklagar samtidigt att
              reger ­ ingen har låtit den här osunda konkurrensen fortgå så
              länge. Det är ju ganska stora kostnadsskillnader som olika bränslen
              medför. Forskarna från Chalmers tog som exempel att ett fartyg
              kan spara runt 1 miljon kronor på att använda det högsvavliga
              bränslet under en enda resa mellan England och Sankt Petersburg
              tur och retur.",0,aae596c3,/content/corpus/protocols/201718/prot-201718--34.xml
"Jag läste på Facebook om en person som haft personlig assistans
              dygnet runt i många år. Nu har denna person, som är under 50 år,
              fått assistansen indragen och tvingas mot sin vilja att flytta
              in på ett äldreboende. Är det värdigt, Stefan Löfven?",0,44425f6c,/content/corpus/protocols/201718/prot-201718--16.xml  
Anf. 21 ELISABETH SVANTESSON (M) replik,1,82b69e99,/content/corpus/protocols/201718/prot-201718--136.xml
Överläggningen var härmed avslutad.,0,af959c64,/content/corpus/protocols/201718/prot-201718--131.xml
"Statsrådet säger att det inte har skett några besparingar på
              det sättet inom den personliga assistansen. Däremot har andelen
              avslag ökat så drastiskt att det har gjort att kostnaderna har
              minskat väldigt dramatiskt. Det vi är oroliga för är när ni säger
              att vi ska utgå från den här ekonomiska ramen och inte det som
              var före den här katastrofala situationen. Det är faktiskt en
              väsentlig skillnad.",0,80cf0f3a,/content/corpus/protocols/201718/prot-201718--124.xml
Reformer för att underlätta studier senare i livet,0,ea764aef,/content/corpus/protocols/201718/prot-201718--113.xml
"Jag är väl medveten om situationen. Men man måste ha ordning
              på pinalerna innan man sätter ned foten, och därför vill vi driva
              denna process ända fram till juni.",0,ea764aef,/content/corpus/protocols/201718/prot-201718--113.xml
"Fru talman! Det här är ju ett avdrag som har funnits tidigare
              och som togs bort av den förra högerregeringen. I betänkandet
              kan vi läsa att skattereduktionen för fackföreningsavgifter avskaffades
              den 1 januari 2007 av finansieringsskäl. Det är en mycket kortfattad
              beskrivning som förvisso inte är felaktig. Det är riktigt att
              Reinfeldtregeringen redan i sin första budget beslutade att göra
              den här indragningen för att tillsammans med en rad andra nedskärningar,
              framför allt på sjukas och arbetslösas livsvillkor, kunna finansiera
              omfattande skattesänkningar i huvudsak riktade till de mest besuttna
              i samhället. Men även om motiveringen av åtgärderna då handlade
              om finansiell besparing, var förstås utformningen strategiskt
              genomtänkt.",0,4c6604ed,/content/corpus/protocols/201718/prot-201718--112.xml
§ 16 Anmälan om skriftliga svar på frågor,0,48104743,/content/corpus/protocols/201718/prot-201718--105.xml
"En fråga ska vara av övergripande och allmänpolitiskt slag eller
              avse ett ämne som faller inom statsrådets ansvarsområde och rör
              dennes tjänste ­ utövning. Statsrådet Isabella Lövin besvarar
              såväl allmänpolitiska frågor som frågor inom sitt eget ansvarsområde.",0,666eef54,/content/corpus/protocols/201718/prot-201718--105.xml
"Jag önskar, Monica Haider, att du kom ut och hälsade på dessa
              bönder. Det är många där ute som säger att det inte funkar speciellt
              bra. Det är så det är.",0,20ab1aa9,/content/corpus/protocols/201718/prot-201718--100.xml
Helsingfors den 20 april 2017,0,28e5063f,/content/corpus/protocols/201617/prot-201617--99.xml
Förbud mot religiösa inslag i skolan,0,07a6194d,/content/corpus/protocols/201617/prot-201617--97.xml
"Den 22 mars 2017 presenterade regeringen sitt utkast till lagrådsremiss.
              Ändringarna av 3:12-reglerna i utredningsförslaget skulle ha slagit
              hårt mot de minsta företagen. Ett antal ändringar har gjorts för
              att säkerställa goda förutsättningar för dem. Schablonbeloppet,
              förenklingsregeln, som de flesta delägare använder sig av sänks
              inte och löneuttagskraven höjs inte. Beräkningen av löneunderlaget
              har förändrats så att det blir mer fördelaktigt för de mindre
              företagen. Kapitalandelskravet ersätts med en bättre regel.",0,546a5db0,/content/corpus/protocols/201617/prot-201617--93.xml
"Att vittna i domstol är en del av polisens arbetsuppgifter, och
              poliser blir kallade till förhandling enligt samma regler som
              gäller för alla andra vittnen. Rättsväsendet är skyldigt att garantera
              medborgarna ett rättssäkert och effektivt domstolsförfarande.
              Av olika skäl tar det ibland ganska lång tid mellan förundersökning
              och huvudförhandling i ett mål. En polis som kallas att vittna
              kan därför ha gått på föräldraledighet, ha bytt arbete eller vara
              hemma för vård av sjukt barn när det väl är dags för rättegång.",0,26102d9d,/content/corpus/protocols/201617/prot-201617--92.xml
Anf. 47 Socialförsäkringsminister ANNIKA STRANDHÄLL (S),1,27c42dd3,/content/corpus/protocols/201617/prot-201617--91.xml
Anf. 10 MIKAEL OSCARSSON (KD),1,9f2c3a1d,/content/corpus/protocols/201617/prot-201617--87.xml
"Det kanske är det som har lett till att barn- och ungdomspsykiatrin
              är överfull. Visste ni att väntetiden till en neuropsykiatrisk
              utredning kan vara ett till två år på vissa håll i landet? Det
              kanske är det som har lett till att det finns landsting som inte
              har en enda vårdplats för unga. Och det kanske är det som har
              lett till att självmorden ökar mest inom gruppen unga vuxna. Ytterst
              få länder uppvisar samma tendens som Sverige, herr talman.",0,06634a53,/content/corpus/protocols/201617/prot-201617--83.xml
Miljö- och jordbruksutskottets betänkande 2016/17:MJU9,0,40d87d43,/content/corpus/protocols/201617/prot-201617--80.xml
(Beslut fattades under § 8.),0,a61557ca,/content/corpus/protocols/201617/prot-201617--77.xml
"Postnord har också förstärkt sitt arbete avseende inköp av transport
              ­ tjänster med bland annat en uppdaterad uppförandekod och utökade
              revi ­ sio ­ ner för att säkerställa att bolaget agerar föredömligt
              i sitt leverantörs ­ arbete. Jag kommer att fortsätta att driva
              dessa viktiga frågor i dialog med Postnord AB.",0,49beafca,/content/corpus/protocols/201617/prot-201617--71.xml
Anf. 90 KERSTIN LUNDGREN (C) replik:,1,9d5aff57,/content/corpus/protocols/201617/prot-201617--68.xml
"Nåväl, Justitieombudsmannen kan väl främst sägas vara allmänhetens
              främsta företrädare när det gäller kontakten med det offentliga,
              och detta är gott väl. Men på grund av detta viktiga arbete måste
              JO göra avkall på det andra viktiga uppdraget denne har. Nämligen
              att arbeta med självinitierade inspektioner och tillsyn.",0,3308d89b,/content/corpus/protocols/201617/prot-201617--60.xml
till finansminister Magdalena Andersson (S),0,d13acd94,/content/corpus/protocols/201617/prot-201617--55.xml
Anf. 116 Närings- och innovationsminister MIKAEL DAMBERG (S),1,ca8ed282,/content/corpus/protocols/201617/prot-201617--42.xml
"Fru talman! Det finns en skrivning i regeringens budgetproposition
              som enligt mitt förmenande vittnar om att regeringen planerar
              långtgående förändringar i skogspolitiken. Denna skrivning lyder:
              Regeringen vill stärka allmänhetens delaktighet i naturvårdsarbetet,
              bl.a. genom tillgång till miljöinformation, deltagande i beslutsprocesser
              och tillgång till rättslig prövning. Denna skrivning tycker jag
              är uppseendeväckande, inte minst med tanke på att regeringen nyligen
              tillsatt en utredning där en av uppgifterna är att identifiera
              behov och en annan att analysera om allmänheten ska ha rätt till
              överprövning av till exempel Skogsstyrelsens beslut om skogliga
              åtgärder.",0,84edcfae,/content/corpus/protocols/201617/prot-201617--41.xml  
"Som sagt: Vi vidtar åtgärder. Jag som statsråd är dock – tillsammans
              med mina kollegor på Utbildningsdepartementet – öppen för att
              vi behöver göra mer. Det är precis som Hannah Bergstedt säger:
              Detta är grunden för det framtida samhälle som vi vill ha och
              som vi strävar efter. Det är ett samhälle där alla människors
              lika värde är något helt okränkbart. Det är också ett samhälle
              där flickor och pojkar, oavsett könsidentitet eller könsuttryck,
              kan leva ett fritt liv utan att vara rädda för våld eller hot
              av olika slag.",0,54d4f0be,/content/corpus/protocols/201617/prot-201617--36.xml
"Herr talman! Den budget som regeringen nu har presenterat är
              den på miljö- och klimatområdet allra starkaste som vi har sett
              i detta land på väldigt länge, om ens någonsin. Vi lägger mycket
              kraft på olika delar. Vi vidtar såväl lokala som nationella och
              internationella klimatåtgärder. Vårt mål om att bli ett av världens
              första fossilfria välfärdsländer är det som stakar ut regeringens
              politik och avgöranden.",0,5f397bb3,/content/corpus/protocols/201617/prot-201617--33.xml
"Det är därför viktigt med en extern granskning. Men självklart
              måste man om man har gjort något fel naturligtvis rätta till det.
              Det här kommer att granskas av Skatteverket och av en annan extern
              granskare.",0,21ff8283,/content/corpus/protocols/201617/prot-201617--26.xml
Justitieutskottets betänkande 2016/17:JuU4,0,0fe3d368,/content/corpus/protocols/201617/prot-201617--13.xml
"Av dessa 34 anmälningar rör 30 nuvarande regering medan 4 rör 
            den tidigare regeringen. En av anmälningarna riktar sig mot sittande
            regering, men KU noterar att liknande problem förekom även under
            den förra reger ­ ingens tid.",0,20b108f5,/content/corpus/protocols/201617/prot-201617--128.xml  
"Centerpartiet och Alliansen menar att införandet av EU:s regelverk
              för de inre vattenvägarna kan få positiva effekter på godstransporter
              med fartyg. Men vi vill också betona att det är angeläget att
              det inte samtidigt införs svenska särregler som krånglar till
              det och fördyrar användningen av de svenska inre vattenvägarna.",0,2e9b8d1b,/content/corpus/protocols/201617/prot-201617--126.xml
"Detta är mina ambitioner. Därför tror jag inte på att bara fortsätta
              som vi alltid har gjort. Vi måste följa råd om att styra på ett
              mer professionellt och tydligt sätt för att få förändring i människors
              liv.",0,b94d4376,/content/corpus/protocols/201617/prot-201617--124.xml
Anf. 18 Statsrådet ANN LINDE (S) replik,1,d490c783,/content/corpus/protocols/201617/prot-201617--123.xml
Flygskatten och arbetslöshetsmålet,0,1a1f53c0,/content/corpus/protocols/201617/prot-201617--121.xml
2. res. 1 (SD),0,68bba6b5,/content/corpus/protocols/201617/prot-201617--121.xml
Herr talman! Jag har en fråga till statsrådet Alice Bah Kuhnke.,0,b438784a,/content/corpus/protocols/201617/prot-201617--109.xml
"Så frågan är: Vad är Miljöpartiets svar på att vi i dag har ett
              minskat förtroende för svensk hälso- och sjukvård och en politik
              som går ut på att det ska vara gratis att stå ännu längre i kö
              i ett samhälle där köerna till vården växer? Vad har Miljöpartiet
              för politik för svensk hälso- och sjukvård?",0,5dd01703,/content/corpus/protocols/201617/prot-201617--108.xml
"Herr talman! Var finns de öronmärkta insatserna för just kristna
              folkgrupper på Nineveslätten och för yazidier i Sinjarområdet?
              Borde inte dessa två folkgrupper och områden prioriteras och återuppbyggas
              för att skapa hopp om en ny framtid för de drabbade och göra det
              möjligt för dem att återvända till sina hemtrakter?",0,b8581731,/content/corpus/protocols/201617/prot-201617--107.xml
"Jag måste fråga: Vad är det för komplicerade juridiska frågor
              som har dykt upp och som gör att förslaget dröjer?",0,3381d3d2,/content/corpus/protocols/201617/prot-201617--107.xml
262 för utskottet,0,26af6fe6,/content/corpus/protocols/201617/prot-201617--104.xml
"Sedan var det frågan om vad Socialdemokraterna har gjort eller
              inte gjort. Kan Lars Eriksson förklara varför ni röstade mot många
              av de förslag som ni nu har i ert 22-punktsprogram? Varför sa
              ni nej till de förslagen i riksdagen när vi styrde när ni nu säger
              ja till dem? Ni är nu stolta över ert 22-punktsprogram. Den logiken
              finns inte där för mig.",0,6dc1819b,/content/corpus/protocols/201617/prot-201617--100.xml
"Fru talman! Det är allvar nu, och jag tycker inte att det riktigt
              håller att regeringen passivt tittar på och försöker vifta bort
              det här. Man måste agera nu. Regeringen måste agera, och vi måste
              göra vad vi kan för att säkerställa att vi har fungerande konkurrensvillkor
              för jordbruket.",0,bbe2e715,/content/corpus/protocols/201516/prot-201516--98.xml
Anf. 104 EDWARD RIEDL (M) replik:,1,8f963ad2,/content/corpus/protocols/201516/prot-201516--95.xml
"Regeringen och ministern tänker genomföra något som ingen har
              efterfrågat, och man vägrar att göra en utvärdering av de regioner
              som faktiskt redan finns. Man vägrar också att lyssna in vad folket
              i området tycker. Man säger i stället att det är någon annan som
              vill ha detta. Det är heller inte ministern själv som vill ha
              det, utan det är någon annan som vill ha detta; ministern bara
              gör det som alla andra vill.",0,e1480722,/content/corpus/protocols/201516/prot-201516--94.xml
till klimat- och miljöminister Åsa Romson (MP),0,bf84750b,/content/corpus/protocols/201516/prot-201516--86.xml
/Olof Pilo,0,91a6f8c2,/content/corpus/protocols/201516/prot-201516--85.xml
"Jag vill återkomma till min fråga om biståndet till Grekland.
              För att förverkliga implementeringen av internationell rätt, för
              allas rätt att få sin asylansökan prövad och överprövad, krävs
              det en infrastruktur på plats i Grekland, till exempel i form
              av kustbevakning, tolkar , migrationsexperter och domare.",0,42127ef4,/content/corpus/protocols/201516/prot-201516--84.xml
"Våren 2015 inrättade samarbetsregeringen en kommission för jämlik
              hälsa. Kommissionen har i uppdrag att lämna förslag som kan bidra
              till att hälsoklyftorna i samhället sluts inom en generation.
              Det är ett regeringsmål som oppositionen borde sluta upp bakom.
              Kommissionens huvudsakliga fokus är hälsoskillnader mellan olika
              socioekonomiska grupper i samhället. Rökning och alkoholbruk,
              inte minst bland unga, är två delar som påverkar folkhälsan.",0,ee287d8d,/content/corpus/protocols/201516/prot-201516--77.xml
"Jag tolkar ministern så att vi är på väg i samma riktning, och
              jag hoppas därför att man kommer att kalla sexualbrott för vad
              det är, nämligen sexualbrott. Det är skillnad på kränkning och
              sexualbrott, och det måste tydligt framgå i lagstiftningen. Det
              har betydelse för påföljderna och för mycket annat.",0,154e77a1,/content/corpus/protocols/201516/prot-201516--60.xml
